WaveNum,row1_point1,row1_point2,row1_point3,row1_point4,row1_point5,row1_point6,row1_point7,row1_point8,row1_point9,row1_point10,row1_point11,row2_point1,row2_point2,row2_point3,row2_point4,row2_point5,row2_point6,row2_point7,row2_point8,row2_point9,row2_point10,row2_point11,row3_point1,row3_point2,row3_point3,row3_point4,row3_point5,row3_point6,row3_point7,row3_point8,row3_point9,row3_point10,row3_point11,row4_point1,row4_point2,row4_point3,row4_point4,row4_point5,row4_point6,row4_point7,row4_point8,row4_point9,row4_point10,row4_point11,row5_point1,row5_point2,row5_point3,row5_point4,row5_point5,row5_point6,row5_point7,row5_point8,row5_point9,row5_point10,row5_point11,row6_point1,row6_point2,row6_point3,row6_point4,row6_point5,row6_point6,row6_point7,row6_point8,row6_point9,row6_point10,row6_point11,row7_point1,row7_point2,row7_point3,row7_point4,row7_point5,row7_point6,row7_point7,row7_point8,row7_point9,row7_point10,row7_point11,row8_point1,row8_point2,row8_point3,row8_point4,row8_point5,row8_point6,row8_point7,row8_point8,row8_point9,row8_point10,row8_point11,row9_point1,row9_point2,row9_point3,row9_point4,row9_point5,row9_point6,row9_point7,row9_point8,row9_point9,row9_point10,row9_point11,row10_point1,row10_point2,row10_point3,row10_point4,row10_point5,row10_point6,row10_point7,row10_point8,row10_point9,row10_point10,row10_point11,row11_point1,row11_point2,row11_point3,row11_point4,row11_point5,row11_point6,row11_point7,row11_point8,row11_point9,row11_point10,row11_point11
3144.052,97.36002,560.7576,84.35392,114.6456,300.1451,98.96561,213.4602,151.4061,147.5134,78.38064,118.5384,137.8774,104.5218,136.9311,172.4989,366.2476,75.1621,241.395,101.6788,181.5583,58.6113,352.6915,63.24506,151.7071,95.46897,128.0155,272.6336,134.4797,433.6455,134.4202,69.04079,168.4235,6446.509,76.91637,3460.089,216.0928,72.25208,77.64318,124.7812,66.20384,76.05075,2084.67,78.28842,170.9106,261.873,951.912,206.5956,5145.638,151.9487,120.746,215.9807,135.9503,740.3634,111.289,73.01189,350.2572,133.3487,183.0656,81.75159,79.44039,119.0282,177.3698,445.8701,89.46376,81.25307,366.9959,260.4951,283.9435,83.22154,136.7036,62.66562,476.2431,65.63398,70.4705,175.2748,324.813,249.398,99.41096,118.5925,65.23454,103.7282,330.1218,200.2552,92.67351,828.1077,249.9758,334.5823,780.7203,77.88251,590.8342,165.861,511.1653,1327.816,142.2141,110.0753,174.915,128.7053,164.6905,456.963,154.8274,189.1492,254.1941,503.6905,137.6671,1469.674,596.2899,88.07989,76.01665,108.9566,534.8908,47.76313,107.6681,291.7674,155.4689,240.0053,151.5605,207.176,497.6134,1290.304,3816.868,64.94132
3145.98,97.61193,558.8652,84.32263,114.6519,300.2737,98.14465,212.915,150.1442,147.8509,78.29572,118.892,137.5428,104.8236,136.4579,172.4404,364.8073,75.61457,241.7253,102.305,181.1932,58.88625,352.354,63.00708,152.0289,95.06979,128.2227,271.4884,134.5228,432.7143,133.8006,69.52199,168.7308,6448.521,76.8948,3460.894,216.3839,72.26061,77.36784,124.886,66.23268,75.48933,2086.355,77.93877,171.2592,262.1387,950.7288,206.6762,5140.501,151.4047,120.44,217.4412,136.1307,739.0475,111.0837,73.13624,350.2112,133.4782,182.4397,81.3402,80.41511,118.7891,177.9996,446.4102,89.84697,80.84634,367.6777,260.6384,283.6383,82.7814,135.7187,62.25917,477.6823,64.96294,70.87827,175.758,324.0804,249.0977,99.88221,119.6094,64.562,103.1565,329.0835,199.3967,92.80019,828.8734,250.9547,335.1353,778.5346,78.4887,591.1051,166.979,510.7341,1327.903,142.6253,110.3159,174.8004,130.7465,165.3603,456.5356,154.0569,190.0909,254.4198,502.6172,138.5639,1470.339,597.4026,87.80338,76.40926,108.3982,533.9551,47.35735,107.3263,290.7923,155.8637,239.6928,152.0843,206.3859,495.8857,1288.408,3818.792,64.00023
3146.945,97.90871,559.2803,86.17227,113.9819,299.2232,99.24529,215.0283,149.6672,148.6654,78.90668,119.7796,137.6931,103.9904,134.8467,171.4321,363.6212,73.77296,239.0397,99.88689,183.0944,59.63038,356.0979,63.36162,152.1855,96.63117,128.3208,269.3197,131.1411,436.3968,133.5651,68.6385,169.8581,6457.299,77.16484,3451.037,218.8025,72.9801,76.88194,125.3011,66.47724,76.5182,2075.192,76.72755,170.6469,259.6954,949.7734,207.7878,5131.347,153.0231,120.4294,217.8802,134.7082,746.0529,111.555,72.7502,346.2744,133.5153,182.6845,81.34832,79.70923,117.2813,176.6857,444.5757,89.68441,80.97514,366.4917,259.936,283.7525,82.25315,133.5344,60.81374,481.014,65.02258,70.65606,175.9681,324.8576,247.5518,99.28678,119.1273,64.96255,104.2418,328.9681,199.6098,91.8528,828.0483,253.1196,332.105,780.5427,78.50849,589.6539,166.9129,513.8136,1328.635,141.6058,110.5523,177.284,128.9097,160.0761,457.6061,155.5878,189.3381,255.9158,502.984,138.6295,1474.295,596.3489,87.17294,76.15997,108.0687,532.4313,45.99849,108.5273,290.9954,155.1262,239.9579,152.3651,205.5001,497.4686,1292.605,3819.37,63.14479
3148.873,97.36909,561.4479,86.00672,113.8867,299.5733,99.21149,216.2955,150.6799,147.4155,79.60464,120.7273,137.1886,103.4636,135.3634,171.5955,363.1058,74.3242,239.0938,99.59046,182.5887,59.48257,357.1764,64.27778,152.0809,96.84328,128.9948,270.8208,130.8544,435.567,134.5701,68.18053,168.6234,6452.271,77.43834,3457.231,218.9869,72.94014,76.89938,124.7883,67.10267,77.64858,2077.312,76.42503,170.5544,259.7613,949.3672,208.3952,5132.061,153.7648,120.2926,218.405,134.8188,746.0089,111.1793,72.13895,348.3063,132.6768,182.3351,82.12968,78.88148,117.3363,177.1458,443.8175,89.2777,81.26507,368.2765,258.8073,284.5099,83.87129,134.6378,60.63986,479.4239,65.78877,70.01594,175.3683,324.5244,248.2371,99.00085,118.6086,65.29346,105.4375,329.3,200.1824,92.25598,827.7867,252.0387,331.6925,780.2026,77.43364,590.8918,167.3607,515.8854,1327.247,140.7862,110.3794,176.6388,127.1831,159.8403,457.3042,155.473,188.1944,256.4712,503.4396,138.8103,1473.492,596.4372,87.66962,75.5114,108.8912,532.6096,46.35265,109.7833,293.8444,155.5443,238.2932,152.7603,206.5728,498.5087,1293.84,3822.681,64.22249
3149.837,95.97155,561.5117,84.82967,113.1013,299.4521,98.15495,215.9203,152.308,145.6782,79.66416,121.9261,136.5727,103.693,136.0343,171.8154,362.9447,75.15743,238.4712,100.4257,181.3157,59.12384,357.0749,65.18161,151.5957,96.83472,129.3276,271.8138,131.488,432.8366,136.1223,67.95495,166.2233,6435.784,77.896,3465.677,217.5035,72.55561,76.85337,123.2849,67.37825,78.27037,2079.239,76.84109,169.0691,260.5512,948.3223,208.3866,5128.753,153.692,119.8064,217.6635,134.8582,742.5476,110.2548,71.45737,352.6318,132.1315,181.4289,82.45249,77.72823,117.9089,177.2987,443.1986,88.63764,81.4221,371.091,257.6429,284.9996,86.06263,136.52,61.29777,476.5003,67.0841,69.09069,174.9016,323.4532,249.5373,98.71562,117.3666,65.41823,105.6625,329.8925,200.3784,93.04427,825.9352,250.0699,329.8779,779.1985,76.48379,593.5307,167.5931,515.3198,1322.935,140.6665,109.5798,174.6033,124.5201,160.2029,456.8051,154.4676,185.6738,256.344,503.2422,138.1363,1470.461,596.0389,88.47789,74.86843,108.6488,532.8133,46.94597,111.119,296.7812,156.2348,237.0651,153.0823,207.1196,498.7715,1295.777,3831.475,65.79354
3151.766,95.41752,556.4167,84.30422,111.9349,297.9406,97.22478,213.0954,151.9576,146.5826,78.24786,121.5795,136.9828,104.9217,135.0732,171.2834,363.5646,74.19325,236.2668,101.2868,181.5135,59.24991,355.6983,64.34048,151.174,96.93466,128.1375,268.6742,131.6949,432.4352,135.7597,68.34072,166.2929,6426.667,77.94087,3457.293,215.8419,72.38471,76.54042,122.5576,66.2913,76.80828,2071.693,77.68175,166.8753,260.4081,947.3271,207.2619,5117.93,152.4024,119.4632,215.3067,134.0308,740.4629,110.0719,71.8231,352.0833,133.388,181.1233,81.00584,77.76572,117.9628,175.7562,443.2828,88.62122,81.02354,370.0266,258.4707,283.7927,84.96384,135.64,62.09717,477.4128,67.06618,69.22843,175.7124,323.0428,249.0496,98.73325,116.5962,64.96267,103.4792,329.8524,199.3484,92.74112,823.3112,250.6736,326.9781,779.437,77.74676,593.4208,166.6714,510.501,1320.247,142.0563,108.9015,174.2868,124.1248,159.089,457.1651,153.9805,184.53,255.3116,501.922,136.6724,1469.305,594.6458,88.13291,75.39497,106.1768,532.0322,46.38628,110.3692,293.9841,155.8063,239.4955,152.6157,204.9159,497.2142,1296.817,3834.47,65.08006
3152.73,95.1939,557.3594,84.03075,112.6443,295.8767,97.85925,213.229,152.496,146.0007,79.03667,119.924,138.3328,105.1909,134.4356,171.1509,361.0978,73.61801,240.0542,101.3833,181.0603,58.51092,354.4427,63.87107,150.6785,95.63319,126.9543,268.7795,132.7536,434.5029,134.4599,69.64334,164.7662,6415.758,78.46748,3458.724,216.05,71.8494,77.62143,123.4427,67.06401,75.71094,2064.108,78.52733,169.3008,262.4394,947.3896,207.0431,5104.124,152.7512,118.6288,217.2054,133.6848,741.9626,109.2299,71.94016,348.1447,133.9029,181.2019,80.81494,78.41112,118.1672,176.0016,444.1278,88.67754,78.44022,368.6791,255.2683,285.3961,84.17537,134.377,61.48301,474.8608,67.34441,69.40556,176.1936,323.9146,246.4963,97.60775,116.6898,65.74161,103.9374,329.5517,198.7561,93.03197,826.7716,250.9018,330.5284,775.7025,76.77077,591.934,165.1393,513.6448,1319.07,140.661,110.9866,174.1159,123.8329,160.7251,458.0309,152.9445,185.018,254.6468,502.5031,136.2022,1467.887,590.7598,88.46458,76.72624,106.2034,528.6542,46.74607,110.1865,292.0072,155.805,239.794,150.3143,204.184,496.757,1299.746,3838.647,63.58475
3154.658,95.36574,559.8123,84.01676,113.2128,295.5428,98.6752,214.2985,152.7823,145.4245,79.72359,119.1896,138.616,104.7105,134.7235,171.1003,360.0129,73.49947,242.2778,101.0063,180.7524,58.085,354.2838,63.83498,150.5537,95.31498,126.8048,269.9288,132.7434,435.5116,133.7748,69.98202,164.4795,6416.062,78.62357,3460.417,216.6893,71.75433,78.20849,123.7755,67.66319,75.50475,2063.314,78.67487,170.8495,263.0378,946.1952,206.8307,5100.113,153.1767,118.3072,218.4433,133.9622,742.5339,108.7903,71.87299,346.5714,133.6936,180.884,80.79575,78.43538,118.2091,176.7504,444.9479,88.71258,77.6459,367.9654,253.7182,286.0765,83.90331,133.8617,61.04623,473.471,67.34156,69.43456,175.7841,324.0161,245.4181,97.15356,117.1885,66.24501,104.7122,329.4007,198.9834,93.1216,829.593,250.6503,333.0168,773.3485,75.94772,591.5664,164.7648,516.1302,1319.124,139.5475,112.0714,174.1034,123.7021,161.593,457.9284,152.802,185.775,254.2899,503.4764,136.3053,1466.861,589.1492,88.50518,76.98277,107.0143,527.2933,46.97451,110.2428,291.9554,155.6715,239.166,149.4238,204.5682,496.7369,1301.539,3840.683,63.3094
3155.623,96.37133,562.3746,83.74719,112.0754,297.319,100.1236,214.9208,152.397,145.6389,78.40585,119.3223,136.8154,103.5816,137.0272,170.2189,363.3339,72.35428,239.5427,100.299,181.0609,58.19397,354.9462,63.34126,150.6647,98.30953,127.3106,270.4985,129.3124,434.9908,132.7207,68.81375,168.3696,6443.465,77.97939,3450.968,216.7901,72.7263,77.79334,121.3593,66.73013,74.47431,2069.997,78.87583,167.9734,259.6096,935.7986,203.6345,5102.598,152.0758,118.3637,214.7775,135.3927,736.9479,108.4394,72.119,348.8584,133.6393,177.5732,77.92174,76.24941,118.1366,177.8441,448.4785,88.77519,80.55434,365.798,256.7076,282.3218,82.16074,132.7225,62.25283,475.7396,66.40847,69.38419,173.2163,320.8104,246.3873,98.01974,118.8233,66.02321,103.5566,330.1197,200.5406,92.12,831.4611,249.8946,331.6788,771.584,76.7045,594.6609,165.574,511.3297,1319.235,140.3019,110.6594,174.0239,122.8961,159.2246,454.8385,154.8777,187.0831,252.111,505.7322,135.4821,1464.079,588.9991,86.74627,75.30579,106.9191,528.4478,45.95275,109.5459,292.5563,153.9191,239.815,150.3546,205.1376,494.7766,1307.673,3851.018,65.19035
3157.551,95.55344,562.0432,83.57607,111.4957,298.1507,99.92708,214.8589,151.4974,146.3021,78.25379,119.3142,136.6895,102.5087,137.0047,169.8237,363.035,72.99087,237.9585,99.65347,180.4324,57.79365,354.2581,63.33837,150.6176,98.13828,127.6373,270.5135,129.5448,433.3941,133.537,67.87328,169.0374,6447.554,78.15259,3449.296,216.6026,72.73466,77.73569,120.7706,65.83932,74.91012,2068.414,78.32063,167.4785,260.3429,936.7324,203.1372,5100.125,151.4672,118.3738,215.0985,135.6124,735.8776,108.2985,71.29647,348.9048,133.0549,178.2872,77.6684,76.71513,117.7112,177.3235,448.8457,88.86535,81.04331,364.8536,256.7694,282.7394,82.64668,133.1704,62.02989,475.3726,65.98653,69.46555,173.2146,321.1276,245.3403,98.8715,118.3812,65.72505,102.7023,328.4503,200.7518,92.03852,832.7418,249.2342,329.2784,771.5977,77.08211,595.6614,166.114,510.7778,1317.702,139.8911,110.5994,174.362,123.3366,159.2331,457.2313,153.6851,185.9185,251.0082,505.8609,134.8675,1461.572,589.9268,87.00681,75.0892,106.7521,529.7889,46.0172,109.8015,291.9401,153.5067,239.4283,151.2646,204.3566,495.9801,1307.926,3853.744,65.36133
