WavwNum_Goethite,value_Goethite
294.4453,61.24417
294.9274,65.16225
295.4095,69.79402
295.8916,75.09421
296.3737,80.98518
296.8558,87.56459
297.338,94.38139
297.8201,101.0934
298.3022,107.6628
298.7843,113.6376
299.2664,119.6005
299.7485,124.7737
300.2307,127.4216
300.7128,127.4297
301.1949,124.9216
301.677,119.4194
302.1591,111.337
302.6412,102.2124
303.1234,91.98819
303.6055,81.46166
304.0876,71.33186
304.5697,61.75938
305.0518,53.12243
305.5339,46.0979
306.0161,40.35559
306.4982,35.36759
306.9803,31.02493
307.4624,27.22286
307.9445,23.95618
308.4266,21.22345
308.9088,18.89963
309.3909,16.95213
309.873,15.32402
310.3551,13.92498
310.8372,12.93989
311.3193,11.99239
311.8015,10.74225
312.2836,9.213863
312.7657,7.77224
313.2478,6.451271
313.7299,5.384811
314.212,4.717419
314.6942,4.828339
315.1763,4.956448
315.6584,4.645161
316.1405,3.993557
316.6226,3.394035
317.1047,3.052116
317.5869,2.801498
318.069,2.527042
318.5511,2.193489
319.0332,1.857906
319.5153,1.493755
319.9974,1.138336
320.4796,0.875702
320.9617,0.785507
321.4438,0.757099
321.9259,0.749485
322.408,0.745216
322.8901,0.731869
323.3723,0.74514
323.8544,0.746632
324.3365,0.678707
324.8186,0.623734
325.3007,0.442402
325.7828,0.0026819999
326.265,0.797405
326.7471,1.315189
327.2292,1.314644
327.7113,1.102444
328.1934,0.97435
328.6755,0.988266
329.1577,1.037739
329.6398,1.161472
330.1219,1.334183
330.604,1.257015
331.0861,0.742603
331.5682,0.191624
332.0504,0.121689
332.5325,0.033302002
333.0146,0.023979001
333.4967,0.195454
333.9788,0.466129
334.4609,0.434036
334.9431,0.230377
335.4252,0.735443
335.9073,0.593288
336.3894,0.597523
336.8715,1.355598
337.3536,1.557369
337.8358,1.389717
338.3179,1.214813
338.8,0.999741
339.2821,0.873863
339.7642,0.908318
340.2463,1.118095
340.7285,1.319817
341.2105,1.494232
341.6927,1.688145
342.1748,1.954636
342.6569,2.296406
343.139,2.704807
343.6211,3.221546
344.1032,3.810604
344.5854,4.170822
345.0675,4.254753
345.5496,4.336708
346.0317,4.678539
346.5138,5.266392
346.9959,5.913559
347.4781,6.608574
347.9602,7.318909
348.4423,8.038082
348.9244,8.760506
349.4065,9.313374
349.8886,9.38921
350.3708,9.190262
350.8529,9.298576
351.335,9.809788
351.8171,10.59701
352.2992,11.59079
352.7813,12.73869
353.2635,13.87139
353.7456,14.95425
354.2277,15.95647
354.7098,16.80563
355.1919,17.48103
355.674,18.14678
356.1562,18.88696
356.6383,19.71009
357.1204,20.64652
357.6025,21.70573
