WavwNum_Quartz,value_Quartz
268.8967,73.74637
269.3788,61.6676
269.8609,51.92077
270.343,44.38751
270.8251,39.49942
271.3073,35.2483
271.7894,30.82543
272.2715,26.10519
272.7536,22.68021
273.2357,20.80821
273.7178,19.78316
274.2,18.4331
274.6821,16.61892
275.1642,15.19352
275.6463,14.75292
276.1284,15.3018
276.6105,14.62663
277.0927,12.41834
277.5748,9.655235
278.0569,7.49115
278.539,5.958572
279.0211,4.829102
279.5032,4.134094
279.9854,3.837784
280.4675,3.501205
280.9496,3.084045
281.4317,2.76403
281.9138,2.84404
282.3959,3.347336
282.8781,3.643852
283.3602,3.585327
283.8423,3.190636
284.3244,2.384827
284.8065,1.064262
285.2886,0.060821999
285.7708,0.040183999
286.2529,1.039017
286.735,1.463669
287.2171,0.637321
287.6992,0.911392
288.1813,1.613327
288.6635,1.434517
289.1456,1.174095
289.6277,1.689644
290.1098,2.802048
290.5919,3.160789
291.074,2.289345
291.5562,0.973389
292.0383,0.899574
292.5204,2.013031
293.0025,3.109505
293.4846,3.276573
293.9667,2.773232
294.4489,2.564621
294.931,2.85994
295.4131,3.220253
295.8952,2.742035
296.3773,1.594734
296.8594,0.862808
297.3416,1.599632
297.8237,3.149712
298.3058,3.986374
298.7879,3.959732
299.27,3.483978
299.7521,2.772011
300.2343,1.947128
300.7164,1.429588
301.1985,1.638741
301.6806,2.207855
302.1627,2.574226
302.6448,2.721016
303.127,2.747543
303.6091,2.77356
304.0912,2.749763
304.5733,2.585213
305.0554,2.11853
305.5375,1.557991
306.0197,1.132652
306.5018,0.838615
306.9839,0.592583
307.466,0.359856
307.9481,0.131004
308.4302,0.112282
308.9124,0.444611
309.3945,0.72596
309.8766,0.783432
310.3587,0.659271
310.8408,0.581291
311.3229,0.755516
311.8051,1.013237
312.2872,1.181122
312.7693,1.185104
313.2514,1.149567
313.7335,1.115723
314.2156,1.094383
314.6978,1.114159
315.1799,1.221008
315.662,1.352715
316.1441,1.497963
316.6262,1.721916
317.1083,1.774483
317.5905,1.244659
318.0726,0.504089
318.5547,0.19371
319.0368,0.987434
319.5189,1.915932
320.001,2.561623
320.4832,2.903152
320.9653,2.912781
321.4474,2.002296
321.9295,0.950089
322.4116,0.661774
322.8937,2.636024
323.3759,4.146141
323.858,4.102905
324.3401,2.381844
324.8222,1.096031
325.3043,0.945892
325.7864,1.132988
