WavwNum_Dolomite,value_Dolomite
266.3976,115.8351
266.8798,121.6732
267.3619,127.4038
267.844,133.2066
268.3261,140.3001
268.8082,149.13
269.2903,158.2775
269.7725,166.1058
270.2546,171.7912
270.7367,179.5952
271.2188,190.6185
271.7009,204.0195
272.183,216.3251
272.6652,226.8895
273.1473,237.8514
273.6294,251.0586
274.1115,266.9948
274.5936,282.654
275.0757,297.4243
275.5579,312.0639
276.04,328.5298
276.5221,347.1718
277.0042,366.4399
277.4863,385.1065
277.9684,403.003
278.4506,422.5872
278.9327,444.2909
279.4148,467.4629
279.8969,490.7986
280.379,514.271
280.8611,537.7812
281.3433,561.3638
281.8254,585.1324
282.3075,608.33
282.7896,630.6053
283.2717,653.5356
283.7538,680.8005
284.236,712.6075
284.7181,742.3372
285.2002,765.116
285.6823,782.1016
286.1644,804.7996
286.6465,834.0277
287.1287,865.1993
287.6108,891.6242
288.0929,913.6218
288.575,937.0826
289.0571,964.9841
289.5392,996.2907
290.0214,1026.424
290.5035,1055.223
290.9856,1082.546
291.4677,1108.523
291.9498,1133.298
292.4319,1156.262
292.9141,1177.591
293.3962,1196.823
293.8783,1213.093
294.3604,1226.329
294.8425,1236.508
295.3246,1245.753
295.8068,1252.422
296.2889,1250.493
296.771,1236.96
297.2531,1216.073
297.7352,1196.545
298.2173,1177.636
298.6995,1151.793
299.1816,1111.301
299.6637,1060.154
300.1458,1007.545
300.6279,954.6064
301.11,900.7184
301.5922,844.6474
302.0743,787.0595
302.5564,730.9233
303.0385,676.2585
303.5206,624.3914
304.0027,576.1008
304.4849,531.9898
304.967,491.3434
305.4491,454.8621
305.9312,421.8797
306.4133,390.7935
306.8954,360.5342
307.3776,331.8701
307.8597,306.0482
308.3418,282.9301
308.8239,262.2888
309.306,244.7908
309.7881,229.3361
310.2703,214.7449
310.7524,200.213
311.2345,186.3702
311.7166,173.8505
312.1987,162.6475
312.6808,152.4032
313.163,143.1197
313.6451,134.4797
314.1272,126.0754
314.6093,117.1319
315.0914,109.1196
315.5735,103.5095
316.0557,99.85768
316.5378,95.78096
317.0199,89.38015
317.502,82.62401
317.9841,76.85658
318.4662,72.95863
318.9484,69.59606
319.4305,66.12083
319.9126,62.82742
320.3947,60.56831
320.8768,60.91027
321.3589,61.35122
321.8411,60.53999
322.3232,57.63084
322.8053,55.18273
323.2874,53.89404
323.7695,53.33131
324.2516,52.85458
324.7338,52.34556
325.2159,51.82232
325.698,51.26791
326.1801,50.69061
326.6622,50.19071
327.1443,49.48743
327.6265,48.9444
328.1086,48.95334
328.5907,50.72218
329.0728,51.77365
329.5549,51.47024
330.037,49.73891
330.5192,48.2432
331.0013,46.70615
331.4834,45.71703
331.9655,45.70985
332.4476,47.22164
332.9297,48.77994
333.4119,50.28617
333.894,51.7532
334.3761,53.28161
334.8582,55.18023
335.3403,56.57262
335.8224,56.76649
336.3046,54.91016
336.7867,54.59179
337.2688,56.6983
337.7509,59.85403
338.233,61.03133
338.7151,59.67466
339.1973,57.66193
339.6794,55.75197
340.1615,54.02865
340.6436,52.13174
341.1257,50.13358
341.6078,47.8672
342.0899,44.9007
342.5721,41.21683
343.0542,37.89642
343.5363,35.40961
344.0184,33.5271
344.5005,31.26729
344.9826,28.61679
345.4648,25.94957
345.9469,23.73555
346.429,21.8494
346.9111,19.62267
347.3932,16.68417
347.8753,13.61658
348.3575,11.79
348.8396,11.12585
349.3217,10.5822
349.8038,9.345684
350.2859,7.732956
350.768,6.498871
351.2502,5.747482
351.7323,5.331882
352.2144,5.248405
352.6965,5.360458
353.1786,5.331493
353.6607,4.826019
354.1429,4.184639
354.625,3.895058
355.1071,3.992844
355.5892,4.067047
356.0713,3.59277
356.5534,2.936943
357.0356,2.65036
357.5177,3.533222
357.9998,4.34779
358.4819,4.054981
358.964,2.818558
359.4461,1.556377
359.9283,0.586346
360.4104,0.105804
360.8925,0.519096
361.3746,0.565678
361.8567,0.537163
362.3388,0.472389
362.821,0.409546
363.3031,0.442841
363.7852,0.735619
364.2673,1.022675
364.7494,1.188602
365.2315,1.209698
365.7137,1.116768
366.1958,0.824463
366.6779,0.476971
367.16,0.221233
367.6421,0.104691
368.1242,0.037696999
368.6064,0.013706
369.0885,0.035930999
369.5706,0.071727999
370.0527,0.275101
370.5348,0.374386
371.0169,0.155426
371.4991,0.837719
371.9812,1.367493
372.4633,1.201191
372.9454,0.520325
373.4275,0.084297001
373.9096,0.756561
374.3918,1.122547
374.8739,0.823151
375.356,0.480289
375.8381,0.821838
376.3202,0.18911
376.8023,1.649014
377.2845,2.135395
377.7666,1.501095
378.2487,0.66544
378.7308,0.184536
379.2129,1.004837
379.695,1.438507
380.1772,1.476574
380.6593,1.188461
381.1414,0.394363
381.6235,0.805866
382.1056,1.52153
382.5877,1.436634
383.0699,0.953484
383.552,0.857246
384.0341,1.104683
384.5162,1.279823
384.9983,0.980614
385.4804,0.449383
385.9626,0.296959
386.4447,0.663143
386.9268,0.976501
387.4089,0.450199
387.891,0.580261
388.3731,1.35207
388.8553,1.236092
389.3374,0.884151
389.8195,1.010807
390.3016,1.593365
390.7837,2.039085
391.2658,1.644669
391.748,1.049721
392.2301,0.980316
392.7122,2.261341
393.1943,3.239941
393.6764,2.937408
394.1585,1.684681
394.6407,0.435146
395.1228,1.073967
395.6049,2.038677
396.087,1.878429
396.5691,0.086433001
397.0512,1.363239
397.5334,2.006889
398.0155,2.138947
398.4976,2.124294
398.9797,1.922981
399.4618,1.661633
399.9439,1.256485
400.4261,0.709175
400.9082,0.532616
401.3903,1.138622
401.8724,1.744202
402.3545,1.766178
402.8366,0.817947
403.3188,0.197906
403.8009,0.016930001
404.283,0.192791
404.7651,0.573364
405.2472,1.248482
405.7293,1.869709
406.2115,2.355701
406.6936,2.712482
407.1757,2.612759
407.6578,1.940315
408.1399,1.121025
408.622,0.554783
409.1042,0.242714
409.5863,0.277405
410.0684,0.775307
410.5505,1.564339
411.0326,2.329655
411.5147,3.069401
411.9969,3.653694
412.479,3.993073
412.9611,4.114086
413.4432,4.040665
413.9253,3.737736
414.4074,3.387756
414.8896,3.175953
415.3717,3.06749
415.8538,2.983318
416.3359,2.981579
416.818,2.926804
417.3001,2.542469
417.7823,1.843227
418.2644,1.461823
418.7465,2.034985
419.2286,3.026569
419.7107,3.815006
420.1928,4.361946
420.675,4.712727
421.1571,4.916714
421.6392,4.923458
422.1213,4.620945
422.6034,3.349827
423.0855,2.324841
423.5677,2.168144
424.0498,3.265984
424.5319,4.068974
425.014,4.164852
425.4961,4.038788
425.9782,4.19952
426.4604,5.008335
426.9425,5.574993
427.4246,5.753654
427.9067,5.569927
428.3888,5.23558
428.8709,4.7019
429.3531,4.154819
429.8352,3.635815
430.3173,3.103931
430.7994,2.86694
431.2815,2.962814
431.7636,3.245636
432.2458,3.677624
432.7279,4.327721
433.21,4.679268
