WavwNum_Magnesiochromite,value_Magnesiochromite
345.225,28.07629
345.707,21.00815
346.189,5.046234
346.671,6.250305
347.153,1.049927
347.635,15.43942
348.118,22.16809
348.6,16.58176
349.082,8.070953
349.564,10.28622
350.046,20.92917
350.528,29.7099
351.01,30.10229
351.492,26.22577
351.975,25.85287
352.457,29.3522
352.939,31.32275
353.421,23.3035
353.903,10.46536
354.385,3.000244
354.867,10.99155
355.349,21.53296
355.832,20.53943
356.314,9.319244
356.796,0.596008
357.278,0.695557
357.76,4.487488
358.242,10.00684
358.724,14.96591
359.206,19.36737
359.688,23.02319
360.171,26.07541
360.653,29.01401
361.135,35.72003
361.617,40.05139
362.099,36.42816
362.581,18.12326
363.063,4.387238
363.545,4.891632
364.027,13.82471
364.51,20.03979
364.992,16.78238
365.474,13.78424
365.956,15.70138
366.438,25.09351
366.92,31.5618
367.402,32.49463
367.884,30.48889
368.366,28.73087
368.849,27.65381
369.331,26.01968
369.813,22.97888
370.295,18.31815
370.777,17.82291
371.259,25.74338
371.741,33.64551
372.224,34.23843
372.706,20.38174
373.188,13.83966
373.67,21.39471
374.152,38.69553
374.634,43.24454
375.116,29.9115
375.598,13.93289
376.08,5.293518
376.562,5.128265
377.045,4.05954
377.527,0.306488
378.009,3.771118
378.491,6.433167
378.973,32.6434
379.455,52.77087
379.937,51.5152
380.419,31.35321
380.902,20.75485
381.384,21.24155
381.866,26.18677
382.348,28.65356
382.83,28.67215
383.312,26.24442
383.794,19.327
384.276,10.72247
384.759,6.702087
385.241,7.336029
385.723,9.815491
386.205,10.95911
386.687,11.09744
387.169,12.63962
387.651,17.36322
388.133,21.95999
388.615,22.88846
389.098,20.67645
389.58,17.64328
390.062,12.96695
390.544,9.25415
391.026,9.674591
391.508,16.16541
391.99,22.55106
392.472,25.43011
392.954,25.90326
393.437,26.05746
393.919,25.25696
394.401,25.30472
394.883,28.68176
395.365,36.98053
395.847,40.82614
396.329,34.46185
396.811,23.86594
397.293,14.70074
397.776,3.75177
398.258,1.252838
398.74,4.178253
399.222,19.01694
399.704,29.32812
400.186,34.33643
400.668,35.41074
401.151,32.78418
401.633,22.07571
402.115,15.58636
402.597,14.59549
403.079,17.65012
403.561,22.20706
404.043,31.09302
404.525,34.8378
405.007,27.82617
405.49,7.385132
405.972,2.48999
406.454,0.476898
406.936,9.324585
407.418,16.51254
407.9,22.12878
408.382,24.96307
408.864,24.31665
409.346,20.75351
409.828,14.8985
410.311,6.487701
410.793,0.279663
411.275,3.414917
411.757,12.54233
412.239,14.98184
412.721,6.047211
413.203,5.62796
413.685,7.923096
414.168,2.476654
414.65,4.313843
415.132,10.50308
415.614,15.30191
416.096,16.88602
416.578,14.65555
417.06,12.39014
417.542,12.6528
418.025,14.69254
418.507,17.38934
418.989,24.23917
419.471,28.24408
419.953,23.27707
420.435,10.19208
420.917,0.562164
421.399,0.45816
421.881,4.358795
422.364,8.375183
422.846,13.12454
423.328,16.33817
423.81,18.12366
424.292,18.19626
424.774,15.57092
425.256,5.414185
425.738,2.624237
426.22,4.588104
426.703,2.038361
427.185,5.19693
427.667,2.23056
428.149,1.843018
428.631,0.410431
429.113,9.579529
429.595,16.64233
430.077,17.17267
430.56,12.47144
431.042,11.05325
431.524,13.70734
432.006,17.07074
432.488,18.27148
432.97,17.49866
433.452,18.42371
433.934,22.42712
434.417,26.50174
434.899,24.65347
435.381,17.2561
435.863,10.13037
436.345,6.217163
436.827,5.204254
437.309,7.825073
437.791,14.52402
438.273,20.91074
438.755,23.30627
439.238,22.98682
439.72,21.79694
440.202,18.51285
440.684,15.59848
441.166,16.08682
441.648,18.92856
442.13,19.26608
442.612,8.592316
443.095,1.620331
443.577,2.040314
444.059,14.43246
444.541,27.07718
445.023,26.40295
445.505,19.28394
445.987,16.47958
446.469,26.04382
446.952,33.63275
447.434,33.28741
447.916,23.91675
448.398,22.76758
448.88,37.09433
449.362,52.97516
449.844,59.71198
450.326,54.44482
450.808,46.77161
451.29,35.59735
451.773,23.51324
452.255,17.80414
452.737,19.40103
453.219,23.73486
453.701,31.49591
454.183,42.2121
454.665,41.28534
455.147,26.34067
455.63,9.274536
456.112,5.058289
456.594,11.74014
457.076,18.18491
457.558,21.00784
458.04,21.42987
458.522,20.62912
459.004,18.81546
459.487,17.40005
459.969,16.22482
460.451,16.4368
460.933,20.29202
461.415,29.50342
461.897,37.58426
462.379,39.38013
462.861,37.53177
463.343,36.3671
463.826,38.87338
464.308,41.17346
464.79,41.48041
465.272,39.62982
465.754,36.61655
466.236,30.87369
466.718,25.15216
467.2,21.34406
467.682,21.21338
468.165,20.76233
468.647,19.10962
469.129,17.27457
469.611,17.75885
470.093,21.9537
470.575,25.64481
471.057,26.71817
471.539,25.20642
472.022,24.67975
472.504,24.34381
472.986,26.23038
473.468,34.95038
473.95,50.32614
474.432,60.60855
474.914,63.31863
475.396,59.66342
475.878,49.61792
476.361,33.90814
476.843,19.4761
477.325,9.762817
477.807,4.544342
478.289,4.608978
478.771,10.39093
479.253,17.32022
479.735,23.98474
480.217,28.82306
480.7,29.479
481.182,20.88489
481.664,11.60065
482.146,5.593384
482.628,2.651855
483.11,1.444244
483.592,3.442261
484.074,5.381134
484.556,5.578827
485.039,1.871033
485.521,0.393585
486.003,0.143799
486.485,2.08316
486.967,3.502045
487.449,4.433472
487.931,4.45993
488.414,3.45047
488.896,1.448975
489.378,1.067078
489.86,3.878845
490.342,7.735687
490.824,15.34155
491.306,27.19138
491.788,29.35321
492.27,18.56711
492.753,3.438354
493.235,2.201141
493.717,0.390564
494.199,1.506958
494.681,6.124268
495.163,16.1084
495.645,16.33789
496.127,7.423035
496.609,2.709167
497.092,10.95819
497.574,15.90686
498.056,15.14926
498.538,6.103058
499.02,3.486816
499.502,10.05219
499.984,14.14737
500.466,16.50116
500.948,16.43942
501.431,15.33542
501.913,12.86667
502.395,8.433746
502.877,7.438446
503.359,14.18698
503.841,21.49603
504.323,25.23987
504.805,23.11432
505.288,22.02313
505.77,23.10971
506.252,24.59018
506.734,21.93048
507.216,13.48694
507.698,7.791779
508.18,7.308136
508.662,11.98175
509.145,24.81528
509.627,46.95633
510.109,64.82773
510.591,61.3425
511.073,43.95862
511.555,36.60822
512.037,46.29318
512.519,57.85565
513.001,51.02652
513.484,33.06049
513.966,20.46469
514.448,21.51468
514.93,30.46085
515.412,47.56058
515.894,71.88092
516.376,90.26492
516.858,95.11459
517.341,93.33188
517.823,88.81592
518.305,74.95566
518.787,69.92719
519.269,83.46942
519.751,105.0515
520.233,117.6433
520.715,117.4369
521.197,113.7956
521.68,106.3332
522.162,95.96393
522.644,97.84869
523.126,116.7074
523.608,133.9061
524.09,131.9967
524.572,111.7593
525.054,102.034
525.536,106.0727
526.019,117.9476
526.501,133.2629
526.983,150.2457
527.465,162.3986
527.947,164.2747
528.429,161.8219
528.911,161.7374
529.393,163.7527
529.875,166.2153
530.358,168.1984
530.84,170.1788
531.322,171.9406
531.804,172.1586
532.286,176.249
532.768,191.6679
533.25,209.9861
533.732,220.6078
534.214,214.7969
534.697,209.6215
535.179,205.8386
535.661,204.1922
536.143,210.653
536.625,231.2271
537.107,249.1093
537.589,253.9782
538.071,243.7499
538.554,239.4213
539.036,241.7403
539.518,247.991
540.0,256.4785
540.482,266.6392
540.964,275.2898
541.446,282.0367
541.928,286.6155
542.411,284.601
542.893,278.6551
543.375,280.0003
543.857,309.0063
544.339,340.2143
544.821,345.6425
545.303,322.1621
545.785,301.0526
546.268,298.5278
546.75,304.9833
547.232,312.0336
547.714,322.5078
548.196,327.5898
548.678,322.8799
549.16,311.7618
549.642,303.0102
550.124,297.7543
550.606,295.6309
551.089,297.1976
551.571,301.8687
552.053,299.8098
552.535,288.6342
553.017,278.8399
553.499,280.2375
553.981,291.925
554.463,301.2371
554.945,306.5221
555.428,309.7694
555.91,314.4185
556.392,319.7416
556.874,322.1937
557.356,318.7799
557.838,312.5145
558.32,303.6508
558.802,293.4725
559.284,288.51
559.767,299.0876
560.249,311.1919
560.731,314.2859
561.213,303.5899
561.695,296.9662
562.177,300.8684
562.659,309.1075
563.141,316.1031
563.624,323.3067
564.106,325.2602
564.588,317.6048
565.07,305.0705
565.552,301.5104
566.034,309.0065
566.516,317.8677
566.998,325.4709
567.481,331.5323
567.963,329.2384
568.445,318.0143
568.927,306.8947
569.409,305.5329
569.891,309.7578
570.373,310.4995
570.855,305.6921
571.338,298.5826
571.82,287.5685
572.302,276.9214
572.784,274.209
573.266,293.6506
573.748,310.577
574.23,312.9463
574.712,302.3615
575.194,292.4637
575.677,284.7116
576.159,278.9247
576.641,274.9928
577.123,272.8498
577.605,274.0287
578.087,283.4939
578.569,289.443
579.051,274.3802
579.533,234.7455
580.016,209.9641
580.498,208.7528
580.98,221.3958
581.462,234.9012
581.944,247.91
582.426,252.0761
582.908,235.3137
583.39,211.1898
583.872,196.9193
584.355,192.1842
584.837,192.1296
585.319,199.0696
585.801,206.2541
586.283,207.6331
586.765,200.2508
587.247,192.5169
587.729,185.7017
588.211,180.019
588.694,175.7829
589.176,173.7335
589.658,171.8227
590.14,168.6196
590.622,165.5891
591.104,169.6432
591.586,184.0701
592.068,193.0157
592.551,186.2349
593.033,166.8329
593.515,155.7489
593.997,153.3289
594.479,153.7936
594.961,153.39
595.443,152.0574
595.925,148.9665
596.407,143.0483
596.89,138.8081
597.372,142.5587
597.854,149.6592
598.336,153.2059
598.818,147.6031
599.3,141.3594
599.782,137.1488
600.265,134.6771
600.747,132.4957
601.229,131.9062
601.711,130.0414
602.193,126.5169
602.675,121.6406
603.157,110.3532
603.639,89.56094
604.121,69.41489
604.604,57.89017
605.086,54.84955
605.568,59.50568
606.05,74.38458
606.532,88.68216
607.014,83.49957
607.496,65.79938
607.978,54.53177
608.46,65.90771
608.943,78.28995
609.425,71.24908
609.907,49.48923
610.389,29.78354
610.871,19.11392
611.353,12.11145
611.835,6.370056
612.317,1.555084
612.799,1.169769
613.282,1.611115
613.764,0.198334
614.246,3.620758
614.728,11.92102
615.21,15.27444
615.692,12.58801
616.174,6.038757
616.656,2.720367
617.138,13.35901
617.621,20.34964
618.103,20.76035
618.585,18.24432
619.067,17.90244
619.549,19.64255
620.031,23.07138
620.513,33.23248
620.995,41.27863
621.477,37.5657
621.96,21.58582
622.442,9.165527
622.924,10.02127
623.406,13.22839
623.888,11.37823
624.37,0.772034
624.852,8.330109
625.334,9.004425
625.817,7.028961
626.299,7.864716
626.781,12.26074
627.263,15.19302
627.745,14.54257
628.227,13.38937
628.709,20.4895
629.191,34.73083
629.674,46.40652
630.156,48.83948
630.638,46.64572
631.12,42.02026
631.602,36.27814
632.084,39.28027
632.566,67.8988
633.048,99.80582
633.531,117.3251
634.013,113.4288
634.495,112.1558
634.977,120.3981
635.459,131.7139
635.941,140.4359
636.423,145.3374
636.905,150.2958
637.387,155.2177
637.87,160.6984
638.352,167.9514
638.834,177.0636
639.316,187.652
639.798,203.0688
640.28,217.1187
640.762,211.6321
641.244,190.142
641.726,173.4502
642.209,178.4148
642.691,191.4084
643.173,199.9151
643.655,203.0918
644.137,206.7425
644.619,216.0528
645.101,224.9147
645.583,228.801
646.065,224.0406
646.548,220.3445
647.03,218.2489
647.512,216.7766
647.994,214.2147
648.476,209.6041
648.958,208.6528
649.44,213.5038
649.922,220.9241
650.404,224.2908
650.887,224.0497
651.369,223.3279
651.851,224.0715
652.333,224.8414
652.815,223.5906
653.297,220.6341
653.779,217.4448
654.261,211.1296
654.744,207.7258
655.226,213.4421
655.708,231.5317
656.19,242.4406
656.672,234.6659
657.154,225.7209
657.636,227.9396
658.118,246.9965
658.601,258.9926
659.083,260.7647
659.565,259.242
660.047,266.5833
660.529,281.6328
661.011,288.0326
661.493,278.0706
661.975,263.7108
662.458,260.3943
662.94,266.3268
663.422,276.4273
663.904,292.1948
664.386,308.0201
664.868,319.8914
665.35,328.2864
665.832,336.7603
666.314,347.9132
666.797,357.6307
667.279,363.0819
667.761,362.8759
668.243,369.0836
668.725,385.018
669.207,401.0909
669.689,407.3237
670.171,404.3051
670.653,407.7628
671.135,419.2062
671.618,436.975
672.1,464.5637
672.582,496.1148
673.064,519.3186
673.546,528.6625
674.028,532.0123
674.51,531.0931
674.992,527.9905
675.474,527.5031
675.957,534.2061
676.439,541.1767
676.921,544.6779
677.403,546.1828
677.885,553.515
678.367,567.3582
678.849,584.4603
679.331,606.7411
679.814,633.3245
680.296,650.0378
680.778,655.3926
681.26,658.1477
681.742,666.1736
682.224,676.8174
682.706,682.7317
683.188,682.6898
683.67,683.7269
684.153,689.5075
684.635,699.3101
685.117,713.4083
685.599,740.8821
686.081,757.5084
686.563,749.7421
687.045,733.6439
687.528,729.8923
688.01,746.4888
688.492,753.9156
688.974,743.8596
689.456,725.6273
689.938,724.0299
690.42,738.0137
690.902,746.469
691.384,734.7792
691.867,715.9912
692.349,710.9858
692.831,716.6509
693.313,718.9362
693.795,708.8753
694.277,695.5379
694.759,681.2587
695.241,665.0562
695.723,655.5651
696.206,665.8547
696.688,672.4727
697.17,662.7164
697.652,631.7891
698.134,603.5146
698.616,576.3115
699.098,556.8245
699.58,560.1549
700.062,579.7567
700.545,578.1096
701.027,545.2646
701.509,506.1172
701.991,485.066
702.473,475.747
702.955,468.013
703.437,459.9078
703.919,450.9091
704.402,442.6117
704.884,433.0811
705.366,417.5441
705.848,389.1469
706.33,364.4468
706.812,347.2437
707.294,335.9235
707.776,324.4723
708.258,312.843
708.741,301.047
709.223,290.5182
709.705,279.5455
710.187,260.681
710.669,234.9673
711.151,215.2374
711.633,215.4163
712.115,221.1467
712.597,218.9488
713.08,206.7086
713.562,196.9424
714.044,196.3502
714.526,197.7527
715.008,196.2822
715.49,191.4379
715.972,186.9205
716.455,183.7556
716.937,179.1338
717.419,168.3405
717.901,151.9774
718.383,140.2368
718.865,135.2701
719.347,133.2084
719.829,129.8516
720.311,126.8954
720.794,126.9071
721.276,135.9047
721.758,141.3053
722.24,134.4106
722.722,119.8108
723.204,107.3219
723.686,98.94617
724.168,91.79068
724.651,85.28586
725.133,79.78671
725.615,76.83224
726.097,76.79886
726.579,77.2901
727.061,77.36951
727.543,76.71515
728.025,76.86697
728.507,77.63467
728.99,76.27536
729.472,68.4838
729.954,59.58151
730.436,54.47958
730.918,53.47107
731.4,52.36475
731.882,49.38965
732.364,46.48959
732.846,44.56567
733.328,43.58054
733.811,44.6525
734.293,49.60965
734.775,52.18875
735.257,43.90262
735.739,27.12601
736.221,19.48889
736.703,23.70016
737.185,29.92389
737.667,26.64685
738.15,19.72549
738.632,18.16473
739.114,27.39465
739.596,35.38779
740.078,37.68173
740.56,35.99023
741.042,32.4523
741.524,26.51926
742.007,19.82144
742.489,11.13577
742.971,3.170532
743.453,1.870056
743.935,7.142273
744.417,12.13971
744.899,15.10376
745.381,16.39703
745.864,16.81052
746.346,16.06207
746.828,13.33276
747.31,3.678894
747.792,3.607727
748.274,2.479156
748.756,5.557129
749.238,13.6113
749.721,27.8609
750.203,32.77744
750.685,20.54599
751.167,6.335968
751.649,26.56577
752.131,40.62634
752.613,45.3403
753.095,31.55093
753.577,8.359436
754.06,1.183716
754.542,8.867645
755.024,15.23978
755.506,6.007416
755.988,6.044769
756.47,10.43619
756.952,5.037872
757.434,1.045807
757.916,0.547943
758.399,1.423309
758.881,2.133392
759.363,2.778595
759.845,5.570221
760.327,11.3858
760.809,16.31146
761.291,15.1344
761.773,9.921173
762.255,7.325623
762.738,8.46228
763.22,10.66632
763.702,12.49081
764.184,13.82968
764.666,14.58447
765.148,14.81317
765.63,14.27188
766.112,11.18958
766.594,8.296753
767.077,8.984253
767.559,14.54468
768.041,18.81573
768.523,20.85779
769.005,21.7587
769.487,24.92328
769.969,28.84149
770.451,26.41531
770.934,11.21393
771.416,3.250916
771.898,3.725891
772.38,4.775574
772.862,13.01648
773.344,20.0618
773.826,24.41562
774.308,26.4238
774.791,25.4585
775.273,18.13361
775.755,0.796051
776.237,9.199005
776.719,4.996887
777.201,7.49649
777.683,14.91772
778.165,17.88596
778.648,19.75461
779.13,23.0217
779.612,25.18906
780.094,21.98169
780.576,15.44247
781.058,12.8194
781.54,22.32114
782.022,29.57208
782.504,29.72321
782.987,23.65659
783.469,15.92175
783.951,4.613083
784.433,1.278244
784.915,4.220032
785.397,17.72353
785.879,30.52786
786.361,42.13634
786.843,48.608
787.326,43.32471
787.808,34.84306
788.29,29.6369
788.772,28.04396
789.254,27.17667
789.736,28.96922
790.218,28.66766
790.7,22.73708
791.182,10.72138
791.665,7.261826
792.147,13.66869
792.629,22.35077
793.111,30.25757
793.593,36.12808
794.075,34.74225
794.557,26.25208
795.039,19.43442
795.521,21.58212
796.004,27.20927
796.486,33.29691
796.968,40.24405
797.45,42.32262
797.932,35.61066
798.414,27.68312
798.896,23.187
799.378,22.68726
799.86,19.56781
800.343,13.10698
800.825,8.846573
801.307,14.10316
801.789,24.32144
802.271,30.32988
802.753,30.93112
803.235,29.65027
803.718,28.44078
804.2,26.34166
804.682,21.83385
805.164,11.38647
805.646,7.83844
806.128,15.94205
806.61,25.41446
807.092,25.87817
807.574,17.52524
808.057,13.71725
808.539,15.76888
809.021,18.44412
809.503,15.33546
809.985,9.480545
810.467,6.062805
810.949,8.03894
811.431,10.15276
811.914,7.462845
812.396,2.80304
812.878,0.19722
813.36,1.270218
813.842,0.953125
814.324,2.721039
814.806,6.585403
815.288,8.477661
815.77,7.913284
816.253,0.283508
816.735,16.62231
817.217,30.83057
817.699,27.98465
818.181,17.46176
818.663,10.60803
819.145,10.22871
819.627,12.74374
820.109,20.64511
820.592,29.49138
821.074,35.07779
821.556,36.91261
822.038,33.42787
822.52,23.67712
823.002,13.65344
823.484,10.78168
823.966,13.27708
824.448,16.24562
824.931,18.33809
825.413,22.52588
825.895,36.31349
826.377,50.4339
826.859,55.02428
827.341,35.86778
827.823,27.75848
828.305,37.6647
828.787,50.86134
829.27,48.26068
829.752,30.36705
830.234,19.104
830.716,17.12646
831.198,19.00148
831.68,19.1657
832.162,19.20316
832.644,22.56995
833.127,33.44588
833.609,38.35773
834.091,23.83612
834.573,6.692917
835.055,4.08107
835.537,24.04112
836.019,33.42104
836.501,28.38629
836.984,18.87117
837.466,16.52647
837.948,19.87822
838.43,24.56134
838.912,30.69742
839.394,33.60051
839.876,24.19504
840.358,12.21207
840.841,8.936417
841.323,24.99274
841.805,31.66158
842.287,21.17834
842.769,7.882034
843.251,6.190536
843.733,16.81042
844.215,21.24683
844.697,17.27293
845.18,11.43788
845.662,9.853348
846.144,11.43127
846.626,15.29774
847.108,22.24289
847.59,27.11571
848.072,26.2439
848.554,23.35568
849.036,21.50952
849.519,21.24501
850.001,20.49518
850.483,18.81677
850.965,17.66879
851.447,19.48654
851.929,23.10915
852.411,24.03067
852.893,21.67497
853.375,19.05203
853.858,17.57657
854.34,17.38501
854.822,19.0603
855.304,23.65547
855.786,26.44557
856.268,28.09355
856.75,26.70404
857.232,18.67172
857.714,3.897644
858.197,1.252655
858.679,3.981628
859.161,11.21284
859.643,12.87898
860.125,12.47179
860.607,15.92555
861.089,24.09641
861.571,27.6911
862.054,14.78436
862.536,4.190735
863.018,8.255234
863.5,28.78654
863.982,35.98827
864.464,26.93614
864.946,17.02068
865.428,19.23538
865.911,27.77985
866.393,28.25589
866.875,21.08458
867.357,13.90952
867.839,10.84059
868.321,9.783707
868.803,9.342636
869.285,9.505402
869.767,12.81662
870.25,22.71933
870.732,28.94092
871.214,24.25777
871.696,11.73988
872.178,9.532104
872.66,16.38737
873.142,21.26334
873.624,13.23351
874.106,4.026703
874.589,2.758759
875.071,8.334396
875.553,15.18654
876.035,29.7402
876.517,35.50017
876.999,24.99791
877.481,3.492645
877.963,9.334229
878.445,13.45026
878.928,9.468506
879.41,8.146378
879.892,26.7847
880.374,27.21457
880.856,15.63785
881.338,7.010544
881.82,11.36662
882.302,14.34918
882.784,8.526154
883.267,0.099441998
883.749,1.648056
884.231,16.91479
884.713,23.75021
885.195,14.6398
885.677,1.394958
886.159,3.92926
886.641,16.12675
887.124,24.17233
887.606,21.77011
888.088,17.81114
888.57,15.57088
889.052,14.4014
889.534,13.21265
890.016,10.83463
890.498,12.19138
890.981,19.25511
891.463,26.08676
891.945,23.63826
892.427,14.70766
892.909,7.227829
893.391,2.00705
893.873,1.997757
894.355,14.69595
894.838,30.276
895.32,39.75786
895.802,40.89957
896.284,38.04118
896.766,28.16878
897.248,19.72926
897.73,21.99161
898.212,32.35667
898.694,33.66927
899.177,25.4021
899.659,16.2123
900.141,12.46057
900.623,10.90561
901.105,7.918701
901.587,2.912598
902.069,3.83316
902.551,16.77545
903.033,27.60605
903.516,29.88808
903.998,24.77185
904.48,19.31987
904.962,13.58095
905.444,9.014008
905.926,5.673035
906.408,4.547882
906.89,8.105728
907.372,15.05617
907.855,20.33392
908.337,20.44969
908.819,21.36252
909.301,25.50233
909.783,30.86839
910.265,30.44579
910.747,24.20073
911.229,21.00717
911.711,25.2809
912.194,31.47412
912.676,33.71037
913.158,32.64969
913.64,29.56107
914.122,22.34349
914.604,16.35104
915.086,12.1739
915.568,9.73877
