WavwNum_Pyrite,value_Pyrite
300.6034,0.307665
301.0855,0.457082
301.5676,0.49006
302.0497,0.46031
302.5319,0.409087
303.014,0.332227
303.4961,0.279498
303.9782,0.320823
304.4603,0.407958
304.9424,0.457333
305.4246,0.434622
305.9067,0.376191
306.3888,0.279683
306.8709,0.167655
307.353,0.115017
307.8351,0.216722
308.3173,0.368253
308.7994,0.436198
309.2815,0.363821
309.7636,0.26479
310.2457,0.216774
310.7278,0.211697
311.21,0.223229
311.6921,0.275639
312.1742,0.336059
312.6563,0.342392
313.1384,0.26232
313.6205,0.217411
314.1027,0.318596
314.5848,0.498857
315.0669,0.642183
315.549,0.72856
316.0311,0.742774
316.5132,0.627495
316.9954,0.358016
317.4775,0.170804
317.9596,0.240984
318.4417,0.422785
318.9238,0.552678
319.4059,0.497455
319.8881,0.454265
320.3702,0.520627
320.8523,0.693679
321.3344,0.836862
321.8165,0.848841
322.2986,0.848945
322.7808,0.927803
323.2629,1.017445
323.745,1.279819
324.2271,1.716479
324.7092,2.338719
325.1913,3.219357
325.6735,4.64784
326.1556,6.134278
326.6377,7.450551
327.1198,8.776742
327.6019,9.645763
328.084,9.779819
328.5662,9.422035
329.0483,9.209084
329.5304,9.108256
330.0125,9.184777
330.4946,9.494408
330.9767,10.1539
331.4589,10.72169
331.941,11.13476
332.4231,11.48572
332.9052,11.89963
333.3873,12.41237
333.8694,12.94368
334.3516,13.45369
334.8337,13.92661
335.3158,14.5257
335.7979,15.28417
336.28,16.12447
336.7621,16.91472
337.2443,17.51364
337.7264,18.43377
338.2085,19.65802
338.6906,21.25363
339.1727,23.76262
339.6548,27.36635
340.137,31.47273
340.6191,35.86548
341.1012,40.52447
341.5833,44.93758
342.0654,48.76175
342.5475,52.56051
343.0297,58.93831
343.5118,68.64768
343.9939,74.96194
344.476,73.39857
344.9581,64.48931
345.4402,53.85433
345.9224,41.1263
346.4045,28.59667
346.8866,19.67896
347.3687,14.15623
347.8508,10.35015
348.3329,8.033051
348.8151,6.851799
349.2972,5.902184
349.7793,5.182301
350.2614,4.643612
350.7435,4.383366
351.2256,4.290024
351.7078,4.034867
352.1899,3.442822
352.672,2.723242
353.1541,2.121705
353.6362,1.636499
354.1183,1.291682
354.6005,1.181726
355.0826,1.196165
355.5647,1.173649
356.0468,1.068952
356.5289,0.969563
357.011,0.945873
357.4932,0.984587
357.9753,1.054648
358.4574,1.168977
358.9395,1.290231
359.4216,1.33435
359.9037,1.2725
360.3859,1.369534
360.868,1.782954
361.3501,2.436922
361.8322,3.238998
362.3143,4.344964
362.7964,5.420904
363.2786,6.381884
363.7607,7.214061
364.2428,7.814277
364.7249,7.933132
365.207,7.93123
365.6891,8.054766
366.1713,8.445563
366.6534,8.84384
367.1355,9.215347
367.6176,9.560903
368.0997,9.877796
368.5818,10.07883
369.064,10.32556
369.5461,10.68751
370.0282,11.21753
370.5103,11.74246
370.9924,12.21816
371.4745,12.71122
371.9567,13.30782
372.4388,13.98468
372.9209,14.78013
373.403,15.60047
373.8851,16.43866
374.3672,17.93075
374.8494,20.16699
375.3315,22.95668
375.8136,26.19624
376.2957,30.07285
376.7778,33.86792
377.2599,37.43657
377.7421,40.88327
378.2242,44.44033
378.7063,48.01164
379.1884,51.95732
379.6705,58.00739
380.1526,66.2601
380.6348,67.82835
381.1169,61.44423
381.599,50.82974
382.0811,39.97008
382.5632,29.07368
383.0453,20.01908
383.5275,13.96604
384.0096,10.28849
384.4917,7.615998
384.9738,5.962062
385.4559,4.847908
385.938,3.944383
386.4202,3.242203
386.9023,2.715528
387.3844,2.3785
387.8665,2.172923
388.3486,2.099463
388.8307,2.121828
389.3129,2.087806
389.795,1.828839
390.2771,1.495084
390.7592,1.259032
391.2413,1.159066
391.7234,1.079882
392.2056,0.931543
392.6877,0.756873
393.1698,0.619956
393.6519,0.562065
394.134,0.529087
394.6161,0.490691
395.0983,0.446974
395.5804,0.427829
396.0625,0.48919
396.5446,0.554224
397.0267,0.564993
397.5089,0.475065
397.991,0.372063
398.4731,0.243693
398.9552,0.10905
399.4373,0.026997
399.9194,0.052080002
400.4016,0.089094996
400.8837,0.096138
401.3658,0.058490001
401.8479,0.055674002
402.33,0.136189
402.8121,0.221839
403.2942,0.211229
403.7763,0.049408
404.2585,0.106865
404.7406,0.237956
405.2227,0.341304
405.7048,0.373194
406.1869,0.314141
406.669,0.218947
407.1512,0.127671
407.6333,0.029066
408.1154,0.010785
408.5975,0.036270998
409.0796,0.114252
409.5617,0.100511
410.0439,0.0075409999
410.526,0.099276997
411.0081,0.102166
411.4902,0.041223999
411.9723,0.013453
412.4544,0.017416
412.9366,0.071726002
413.4187,0.245334
413.9008,0.489866
414.3829,0.657134
414.865,0.672595
415.3471,0.632007
415.8293,0.650925
416.3114,0.720861
416.7935,0.801718
417.2756,0.88094
417.7577,0.95268
418.2398,1.003907
418.722,1.0271
419.2041,1.055575
419.6862,1.14361
420.1683,1.244455
420.6504,1.284545
421.1325,1.148292
421.6147,1.02729
422.0968,1.006042
422.5789,1.084936
423.061,1.202922
423.5431,1.328044
424.0252,1.499799
424.5074,1.742644
424.9895,2.156446
425.4716,2.515608
425.9537,2.781197
426.4358,2.985754
426.9179,3.198575
427.4001,3.387147
427.8822,3.627879
428.3643,3.966308
428.8464,4.427585
429.3285,4.815741
429.8106,5.143549
430.2928,5.380705
430.7749,5.511397
431.257,5.549257
431.7391,5.415663
432.2212,5.087397
432.7033,4.585896
433.1855,3.900468
433.6676,2.99564
434.1497,2.199041
434.6318,1.757513
435.1139,1.617513
435.596,1.465983
436.0782,1.289216
436.5603,1.088759
437.0424,0.816471
437.5245,0.51179
438.0066,0.318573
438.4887,0.344893
438.9709,0.467557
439.453,0.542358
439.9351,0.574238
440.4172,0.579052
440.8993,0.550473
441.3814,0.508752
441.8636,0.470783
442.3457,0.43279
442.8278,0.419699
443.3099,0.508211
443.792,0.620664
444.2741,0.631921
444.7563,0.387725
445.2384,0.137007
445.7205,0.040465001
446.2026,0.139433
446.6847,0.15315
447.1668,0.00045799999
447.649,0.178229
448.1311,0.295083
448.6132,0.338163
449.0953,0.330677
449.5774,0.231928
450.0595,0.093009003
450.5417,0.030185999
451.0238,0.083465002
451.5059,0.140041
451.988,0.168545
452.4701,0.172843
452.9522,0.163759
453.4344,0.137424
453.9165,0.106605
454.3986,0.079717003
454.8807,0.056327
455.3628,0.047028001
455.8449,0.058293998
456.3271,0.077096
456.8092,0.055775002
457.2913,0.00037299999
457.7734,0.0042920001
458.2555,0.159814
458.7376,0.393293
459.2198,0.454205
459.7019,0.326168
460.184,0.192686
460.6661,0.240706
461.1482,0.386799
461.6303,0.498245
462.1125,0.542031
462.5946,0.513604
463.0767,0.340874
463.5588,0.088330001
464.0409,0.060252
464.523,0.074947998
465.0052,0.265603
465.4873,0.378499
