WavwNum_Pyrolusite,value_Pyrolusite
310.7524,1.445868
311.2345,1.14147
311.7166,0.803307
312.1987,0.444572
312.6808,0.297995
313.163,0.770723
313.6451,1.420109
314.1272,1.772942
314.6093,1.51985
315.0914,1.076979
315.5735,0.450275
316.0557,0.276627
316.5378,0.661177
317.0199,0.087332003
317.502,0.652386
317.9841,0.951973
318.4662,0.284115
318.9484,0.25938
319.4305,0.233976
319.9126,0.19556
320.3947,0.596498
320.8768,0.912935
321.3589,1.116993
321.8411,1.177591
322.3232,1.033314
322.8053,0.886604
323.2874,0.699066
323.7695,0.545975
324.2516,0.546408
324.7338,0.89187
325.2159,1.233664
325.698,1.520899
326.1801,1.806007
326.6622,1.781044
327.1443,1.013803
327.6265,0.105524
328.1086,0.339182
328.5907,0.036511999
329.0728,0.429756
329.5549,1.088747
330.037,1.946823
330.5192,2.52874
331.0013,2.818838
331.4834,2.852358
331.9655,2.62878
332.4476,1.921829
332.9297,1.345638
333.4119,0.990427
333.894,0.5727986
334.3761,0.58555
334.8582,0.173428
335.3403,0.054106001
335.8224,0.177874
336.3046,1.157665
336.7867,1.719557
337.2688,1.74176
337.7509,1.414753
338.233,1.096975
338.7151,0.779789
339.1973,0.502968
339.6794,0.222715
340.1615,0.074036002
340.6436,0.038291998
341.1257,0.700619
341.6078,1.464941
342.09,1.698965
342.5721,1.355976
343.0542,1.077423
343.5363,1.065285
344.0184,1.267031
344.5005,1.523781
344.9827,1.860872
345.4648,2.055132
345.9469,1.736767
346.429,0.994259
346.9111,0.582535
347.3932,0.723408
347.8754,1.155125
348.3575,1.378979
348.8396,1.411095
349.3217,1.450806
349.8038,1.693235
350.2859,2.039091
350.7681,2.219139
351.2502,2.168062
351.7323,2.078554
352.2144,2.200092
352.6965,2.472391
353.1786,2.71019
353.6608,2.841555
354.1429,2.881376
354.625,2.772501
355.1071,2.478323
355.5892,2.320526
356.0714,2.82258
356.5535,3.582283
357.0356,4.000982
357.5177,3.609325
357.9998,3.013184
358.4819,2.54847
358.9641,2.222256
359.4462,2.099606
359.9283,2.491276
360.4104,2.952587
360.8925,3.07584
361.3746,2.520653
361.8568,2.049402
362.3389,2.132902
362.821,2.532948
363.3031,2.709337
363.7852,2.290688
364.2673,1.774403
364.7495,1.380529
365.2316,1.148611
365.7137,1.029587
366.1958,0.8995
366.6779,0.861261
367.16,1.097485
367.6422,2.377867
368.1243,3.168987
