WavwNum_Zoisite,value_Zoisite
509.8403,543.75
510.3224,530.5874
510.8046,512.5684
511.2867,500.0981
511.7688,514.2793
512.2509,551.583
512.733,588.5562
513.2151,610.0786
513.6973,623.4956
514.1794,633.8662
514.6615,638.7881
515.1436,651.8555
515.6257,677.7759
516.1078,716.6504
516.59,767.54
517.0721,849.4395
517.5542,921.3735
518.0363,965.146
518.5184,983.1362
519.0005,1022.79
519.4827,1105.278
519.9648,1187.87
520.4469,1242.614
520.929,1253.333
521.4111,1288.651
521.8932,1356.896
522.3754,1440.278
522.8575,1512.258
523.3396,1572.794
523.8217,1626.882
524.3038,1675.836
524.7859,1719.311
525.2681,1760.979
525.7502,1800.792
526.2323,1831.254
526.7144,1853.972
527.1965,1862.328
527.6786,1842.529
528.1608,1790.356
528.6429,1720.279
529.125,1636.94
529.6071,1544.923
530.0892,1453.351
530.5714,1364.047
531.0535,1276.083
531.5356,1185.533
532.0176,1094.065
532.4998,1016.396
532.9819,968.5693
533.464,924.6836
533.9461,870.5273
534.4282,802.585
534.9103,732.4355
535.3925,656.0107
535.8746,579.7549
536.3567,513.1074
536.8388,459.2656
537.3209,403.5078
537.803,339.7295
538.2852,272.8867
538.7673,222.5605
539.2494,189.8457
539.7315,162.0488
540.2136,130.5664
540.6957,97.27246
541.1779,68.39844
541.66,45.15039
542.1421,22.14355
542.6242,12.27441
543.1063,48.92383
543.5884,71.48633
544.0706,61.40771
544.5527,47.74219
545.0348,48.41602
545.5169,60.20557
545.999,70.67383
546.4811,81.26807
546.9633,84.95947
547.4454,73.50977
547.9275,35.24512
548.4096,20.80273
548.8917,54.90771
549.3738,95.96289
549.856,102.6675
550.3381,59.04688
550.8202,20.23438
551.3023,5.870117
551.7844,21.56055
552.2665,29.91504
552.7487,29.18945
553.2308,39.98438
553.7129,81.2793
554.195,143.3047
554.6771,188.4141
555.1592,216.0879
555.6414,238.1582
556.1235,255.3711
556.6056,276.5283
557.0877,318.2188
557.5698,393.1162
558.0519,472.2002
558.5341,534.0801
559.0162,586.0898
559.4983,641.7061
559.9804,707.9844
560.4625,777.8008
560.9446,846.9062
561.4268,914.085
561.9089,991.5127
562.391,1090.522
562.8731,1190.896
563.3552,1280.292
563.8373,1354.664
564.3195,1428.91
564.8016,1505.093
565.2837,1578.235
565.7658,1634.29
566.2479,1671.854
566.73,1720.94
567.2122,1799.924
567.6943,1890.342
568.1764,1944.803
568.6585,1965.747
569.1406,1974.714
569.6227,1979.345
570.1049,1983.938
570.587,2004.514
571.0691,2048.642
571.5512,2061.654
572.0333,1984.228
572.5154,1865.975
572.9976,1764.373
573.4797,1723.359
573.9618,1668.376
574.4439,1575.975
574.926,1454.26
575.4081,1332.649
575.8903,1195.937
576.3724,1077.939
576.8545,996.3389
577.3366,954.665
577.8187,895.0146
578.3008,806.3799
578.783,722.9131
579.2651,676.3281
579.7472,665.2148
580.2293,660.5098
580.7114,660.5068
581.1935,661.8711
581.6757,652.5938
582.1578,638.918
582.6399,640.9287
583.122,672.8193
583.6041,720.3135
584.0862,771.6318
584.5684,827.7129
585.0505,892.7393
585.5326,981.0732
586.0147,1069.938
586.4968,1145.612
586.9789,1201.598
587.4611,1254.151
587.9432,1298.161
588.4253,1345.159
588.9074,1406.002
589.3895,1485.458
589.8716,1569.182
590.3538,1658.819
590.8359,1749.461
591.318,1827.593
591.8001,1891.36
592.2822,1961.376
592.7643,2055.058
593.2465,2161.255
593.7286,2246.099
594.2107,2310.068
594.6928,2354.955
595.1749,2393.808
595.657,2411.735
596.1392,2389.511
596.6213,2323.7
597.1034,2216.346
597.5854,2047.877
598.0676,1843.395
598.5497,1639.777
599.0318,1429.829
599.5139,1237.856
599.996,1068.735
600.4781,919.4355
600.9603,786.5947
601.4424,676.7861
601.9245,574.5225
602.4066,471.0342
602.8887,365.1973
603.3708,281.5088
603.853,222.7764
604.3351,178.1885
604.8172,140.9814
605.2993,111.4473
605.7814,90.72754
606.2635,78.86523
606.7457,66.76953
607.2278,44.23535
607.7099,17.6377
608.192,0.417969
608.6741,2.022461
609.1563,1.036133
609.6384,0.607422
610.1205,2.485352
610.6026,1.641602
611.0847,2.821289
611.5668,13.51758
612.049,33.16797
612.5311,64.25
613.0132,92.86621
613.4953,121.4941
613.9774,145.0186
614.4595,153.8086
614.9417,143.6787
615.4238,154.6396
615.9059,196.2168
616.388,250.1797
616.8701,288.9111
617.3522,313.9834
617.8344,334.7227
618.3165,355.0166
618.7986,373.1279
619.2807,383.4199
619.7628,388.083
620.2449,397.624
620.7271,425.834
621.2092,454.7988
621.6913,469.9072
622.1734,465.8555
622.6555,470.5059
623.1376,507.3604
623.6198,542.9043
624.1019,550.9004
624.584,516.4717
625.0661,486.5195
625.5482,466.0479
626.0303,448.2744
626.5125,420.4082
626.9946,381.9785
627.4767,341.1133
627.9588,298.4395
628.4409,256.5215
628.923,223.6562
629.4052,198.4346
629.8873,169.9287
630.3694,118.9385
630.8515,68.89062
631.3336,46.42285
631.8157,54.3457
632.2979,64.38281
632.78,74.84863
633.2621,75.35059
633.7442,56.06738
634.2263,10.70215
634.7084,54.09277
635.1906,63.73145
635.6727,54.09961
636.1548,43.45215
636.6369,29.95605
637.119,21.58203
637.6011,20.74902
638.0833,25.66406
638.5654,35.31738
639.0475,49.10742
639.5296,55.14746
640.0117,41.36523
640.4938,17.8252
640.976,0.417969
641.4581,12.81055
641.9402,21.25391
642.4223,27.06738
642.9044,29.25391
643.3865,22.43555
643.8687,6.176758
644.3508,8.876953
644.8329,53.17383
645.315,133.6064
645.7971,181.0527
646.2792,174.8359
646.7614,176.7744
647.2435,198.6426
647.7256,228.3027
648.2077,235.1055
648.6898,216.9873
649.1719,200.9639
649.6541,197.292
650.1362,202.4277
650.6183,210.4678
651.1004,220.8115
651.5825,228.0742
652.0646,221.085
652.5468,213.8281
653.0289,221.0811
653.511,245.1104
653.9931,273.1875
654.4752,318.0303
654.9573,354.4697
655.4395,361.6035
655.9216,300.0059
656.4037,265.873
656.8858,269.1211
657.3679,292.4277
657.85,313.7344
658.3322,334.5166
658.8143,344.2783
659.2964,337.1074
659.7785,321.5537
660.2606,311.8154
660.7427,309.1318
661.2249,322.1338
661.707,364.4053
662.1891,419.6309
662.6712,467.6699
663.1533,509.5352
663.6354,557.9619
664.1175,630.5312
664.5996,703.9951
665.0817,761.3555
665.5638,794.4072
666.046,833.5625
666.5281,881.9238
667.0102,937.0752
667.4923,996.7881
667.9744,1061.15
668.4565,1130.014
668.9387,1204.164
669.4208,1283.156
669.9029,1369.892
670.385,1462.836
670.8671,1552.801
671.3492,1639.301
671.8314,1718.63
672.3135,1786.948
672.7956,1844.757
673.2777,1892.685
673.7598,1917.621
674.2419,1943.855
674.7241,1994.58
675.2062,2068.812
675.6883,2113.155
676.1704,2105.625
676.6525,2080.028
677.1346,2052.08
677.6168,2025.758
678.0989,1969.716
678.581,1875.158
679.0631,1772.486
679.5452,1692.929
680.0273,1632.056
680.5095,1561.211
680.9916,1472.531
681.4737,1383.275
681.9558,1314.803
682.4379,1258.442
682.92,1195.6
683.4022,1111.772
683.8843,1029.909
684.3664,953.7451
684.8485,887.3457
685.3306,836.2471
685.8127,817.7061
686.2949,797.8359
686.777,767.8965
687.2591,729.708
687.7412,696.5371
688.2233,666.6494
688.7054,646.5137
689.1876,647.3779
689.6697,662.8682
690.1518,656.3193
690.6339,627.1436
691.116,598.791
691.5981,597.9414
692.0803,604.7217
692.5624,590.5039
693.0445,547.627
693.5266,512.5576
694.0087,513.4678
694.4908,523.793
694.973,515.4229
695.4551,461.4355
695.9372,420.9258
696.4193,402.2773
696.9014,392.79
697.3835,372.7842
697.8657,342.6201
698.3478,306.877
698.8299,260.8457
699.312,214.5479
699.7941,192.3086
700.2762,191.4551
700.7584,200.166
701.2405,233.0176
701.7226,256.8145
702.2047,231.3125
702.6868,164.5059
703.1689,109.0146
703.6511,91.12402
704.1332,83.3457
704.6153,71.83398
705.0974,54.49023
705.5795,44.56348
706.0616,42.49414
706.5438,47.19238
707.0259,60.58984
707.508,82.87109
707.9901,98.10352
708.4722,104.5986
708.9543,108.4346
709.4365,115.084
709.9186,124.3594
710.4007,136.9531
710.8828,156.0674
711.3649,170.6631
711.847,167.5508
712.3292,156.9561
712.8113,153.876
713.2934,171.4326
713.7755,185.3848
714.2576,189.0039
714.7397,187.1299
715.2219,192.6455
715.704,208.6846
716.1861,220.8145
716.6682,223.332
717.1503,219.2568
717.6324,213.6279
718.1146,207.5928
718.5967,213.4102
719.0788,258.1582
719.5609,306.8584
720.043,311.8047
720.5251,275.2236
721.0073,244.5752
721.4894,252.1221
721.9715,264.2939
722.4536,256.6553
722.9357,217.5576
723.4178,204.7012
723.9,232.1523
724.3821,266.9346
724.8642,284.7852
725.3463,285.3281
725.8284,274.5293
726.3105,251.5742
726.7927,222.6455
727.2748,187.3701
727.7569,152.1348
728.239,135.1113
728.7211,149.8193
729.2032,160.957
729.6853,134.3252
730.1674,92.13379
730.6495,66.59375
731.1317,83.74414
731.6138,95.79297
732.0959,96.16895
732.578,87.25293
733.0601,72.35059
733.5422,48.4834
734.0244,30.57812
734.5065,23.7832
734.9886,24.79102
735.4707,27.58496
735.9528,31.30469
736.4349,30.18457
736.9171,16.29102
737.3992,0.725586
737.8813,13.78613
738.3634,22.08105
738.8455,21.73242
739.3276,2.082031
739.8098,17.07324
740.2919,27.55762
740.774,29.62207
741.2561,22.66016
741.7382,0.671875
742.2203,18.44727
742.7025,10.0
743.1846,21.6543
743.6667,35.18164
744.1488,28.82812
744.6309,17.37793
745.113,12.29785
745.5952,9.438477
746.0773,4.095703
746.5594,5.450195
747.0415,9.735352
747.5236,5.583008
748.0057,6.664063
748.4879,26.28027
748.97,71.12207
749.4521,88.24902
749.9342,65.8125
750.4163,30.56641
750.8984,21.49023
751.3806,40.17188
751.8627,55.69434
752.3448,58.58789
752.8269,61.78711
753.309,93.4541
753.7911,141.0908
754.2733,171.75
754.7554,149.7129
755.2375,125.9727
755.7196,136.1025
756.2017,170.9766
756.6838,198.9014
757.166,200.5908
757.6481,202.3418
758.1302,217.3047
758.6123,240.6289
759.0944,247.8262
759.5765,233.0273
760.0587,224.5371
760.5408,243.2109
761.0229,276.5918
761.505,293.418
761.9871,296.6611
762.4692,302.2412
762.9514,323.8018
763.4335,344.9561
763.9156,354.9766
764.3977,353.0107
764.8798,353.0508
765.3619,349.374
765.8441,358.124
766.3262,393.3545
766.8083,459.1865
767.2904,477.3975
767.7725,439.3975
768.2546,393.9805
768.7368,378.877
769.2189,387.3047
769.701,407.0332
770.1831,437.5938
770.6652,469.9268
771.1473,505.7217
771.6295,535.3066
772.1116,546.6982
772.5937,529.0664
773.0758,519.7217
773.5579,536.3984
774.04,553.123
774.5222,544.4092
775.0043,499.5752
775.4864,482.2734
775.9685,501.5889
776.4506,533.46
776.9327,552.0361
777.4149,558.9111
777.897,559.9824
778.3791,557.8535
778.8612,546.0947
779.3433,509.5869
779.8254,463.9395
780.3076,429.8398
780.7897,414.3232
781.2718,408.4883
781.7539,418.043
782.236,432.3398
782.7181,434.6611
783.2003,423.5068
783.6824,408.4541
784.1645,390.8564
784.6466,371.3857
785.1287,351.5068
785.6108,330.8994
786.093,307.5938
786.5751,273.3984
787.0572,244.9912
787.5393,235.8564
788.0214,240.8203
788.5035,248.2256
788.9857,273.2539
789.4678,277.4971
789.9499,242.083
790.432,184.168
790.9141,161.8691
791.3962,180.4072
791.8784,193.3242
792.3605,181.9004
792.8426,155.3242
793.3247,126.1318
793.8068,96.22461
794.2889,72.00684
794.7711,60.13574
795.2531,52.20898
795.7352,40.98535
796.2173,27.96191
796.6995,25.0293
797.1816,45.91309
797.6637,60.78418
798.1458,58.56641
798.6279,42.12109
799.11,32.40625
799.5922,29.37012
800.0743,28.14941
800.5564,32.00586
801.0385,35.24512
801.5206,22.89551
802.0027,2.213867
802.4849,20.32324
802.967,12.86426
803.4491,2.34375
803.9312,1.637695
804.4133,12.24414
804.8954,22.92285
805.3776,38.69922
805.8597,44.04492
806.3418,26.09277
806.8239,11.45312
807.306,34.64062
807.7881,43.38867
808.2703,40.05762
808.7524,19.84473
809.2345,7.249023
809.7166,30.56055
810.1987,49.29102
810.6808,64.44922
811.163,83.83203
811.6451,92.98047
812.1272,77.28027
812.6093,31.75
813.0914,17.82129
813.5735,49.60254
814.0557,75.71484
814.5378,45.27637
815.0199,24.36816
815.502,43.06348
815.9841,8.9375
816.4662,27.16406
816.9484,21.6582
817.4305,2.305664
817.9126,4.054688
818.3947,7.005859
818.8768,17.94336
819.3589,34.9668
819.8411,41.34473
820.3232,22.50098
820.8053,28.27148
821.2874,51.51953
821.7695,44.07812
822.2516,25.68457
822.7338,4.526367
823.2159,13.44824
823.698,9.262695
824.1801,19.66211
824.6622,41.11621
825.1443,25.2959
825.6265,1.083008
826.1086,9.291016
826.5907,0.482422
827.0728,12.03906
827.5549,27.19238
828.037,41.31348
828.5192,51.25781
829.0013,57.2168
829.4834,56.2627
829.9655,47.26855
830.4476,47.67871
830.9297,93.12695
831.4119,147.2451
831.894,155.3457
832.3761,103.4941
832.8582,66.10938
833.3403,77.41895
833.8224,108.3926
834.3046,144.3076
834.7867,193.5361
835.2688,203.7373
835.7509,165.1738
836.233,118.2188
836.7151,99.30859
837.1973,100.4141
837.6794,95.09082
838.1615,80.95703
838.6436,71.24414
839.1257,79.31445
839.6078,93.41895
840.09,103.8477
840.5721,108.1201
841.0542,112.96
841.5363,118.8496
842.0184,125.2383
