WavwNum_Lepidocrocite,value_Lepidocrocite
316.6384,0.850481
317.1205,0.523036
317.6027,0.045508001
318.0848,0.263372
318.5669,0.242324
319.049,0.110156
319.5311,0.102873
320.0132,0.401479
320.4954,0.537637
320.9775,0.218579
321.4596,0.187142
321.9417,0.18576
322.4238,0.106803
322.9059,0.450617
323.3881,0.408143
323.8702,0.015924999
324.3523,0.255284
324.8344,0.236091
325.3165,0.143699
325.7986,0.106496
326.2808,0.269171
326.7629,0.217228
327.245,0.137242
327.7271,0.255785
328.2092,0.488059
328.6913,0.333718
329.1735,0.215287
329.6556,0.317467
330.1377,0.859759
330.6198,1.202423
331.1019,1.250044
331.584,1.116877
332.0662,1.015406
332.5483,0.91463
333.0304,0.891068
333.5125,0.986381
333.9946,1.219496
334.4767,1.443717
334.9589,1.693181
335.441,1.904394
335.9231,1.975745
336.4052,1.838596
336.8873,1.724997
337.3694,1.681662
337.8516,1.709421
338.3337,1.837899
338.8158,2.115162
339.2979,2.389565
339.78,2.507373
340.2621,2.450094
340.7442,2.372138
341.2263,2.275677
341.7085,2.190246
342.1906,2.242606
342.6727,2.455119
343.1548,2.676735
343.6369,2.845868
344.119,2.94874
344.6012,2.963541
345.0833,2.844637
345.5654,2.705798
346.0475,2.810947
346.5296,3.132118
347.0117,3.324676
347.4939,3.068537
347.976,2.527206
348.4581,2.247118
348.9402,2.28484
349.4223,2.407711
349.9044,2.350103
350.3866,2.156314
350.8687,1.97911
351.3508,1.927911
351.8329,1.9085
352.315,1.743327
352.7971,1.436305
353.2793,1.145672
353.7614,0.983935
354.2435,0.918706
354.7256,0.894753
355.2077,0.886186
355.6898,0.92506
356.172,1.0934
356.6541,1.354347
357.1362,1.54967
357.6183,1.516508
358.1004,1.417188
358.5826,1.402587
359.0647,1.526272
359.5468,1.670745
360.0289,1.823436
360.511,1.94953
360.9931,1.982748
361.4753,1.696882
361.9574,1.470852
362.4395,1.544768
362.9216,1.993002
363.4037,2.396199
363.8858,2.608067
364.368,2.721119
364.8501,2.833265
365.3322,2.844521
365.8143,2.978975
366.2964,3.357666
366.7785,3.975594
367.2607,4.500416
367.7428,4.899092
368.2249,5.201987
368.707,5.423878
369.1891,5.403033
369.6712,5.524071
370.1534,5.829234
370.6355,6.275249
371.1176,6.743465
371.5997,7.317804
372.0818,7.804346
372.5639,8.114213
373.0461,8.187791
373.5282,8.265895
374.0103,8.304935
374.4924,8.388607
374.9745,8.683448
375.4566,9.289375
375.9388,9.781131
376.4209,10.04385
376.903,10.11429
377.3851,10.14361
377.8672,10.10538
378.3493,10.07772
378.8315,10.16333
379.3136,10.35583
379.7957,10.48256
380.2778,10.51541
380.7599,10.46162
381.242,10.33892
381.7242,10.15512
382.2063,9.979782
382.6884,9.884714
383.1705,9.85546
383.6526,9.850293
384.1347,9.860992
384.6169,9.872479
385.099,9.879701
385.5811,9.876523
386.0632,9.798835
386.5453,9.543816
387.0274,9.238819
387.5096,9.081455
387.9917,9.067432
388.4738,9.050216
388.9559,8.866238
389.438,8.641806
389.9201,8.538301
390.4023,8.68054
390.8844,8.845585
391.3665,8.883936
391.8486,8.820045
392.3307,8.747224
392.8128,8.799528
393.295,8.805905
393.7771,8.605591
394.2592,8.061564
394.7413,7.661399
395.2234,7.680298
395.7055,7.894735
396.1877,7.975255
396.6698,7.748835
397.1519,7.50436
397.634,7.332684
398.1161,7.251048
398.5982,7.118001
399.0804,6.884337
399.5625,6.612237
400.0446,6.32898
400.5267,5.98113
401.0088,5.709372
401.4909,5.621428
401.9731,5.634946
402.4552,5.37386
402.9373,4.587123
403.4194,3.908261
403.9015,3.697154
404.3836,4.106125
404.8658,4.277243
405.3479,4.145218
405.83,3.869458
406.3121,3.674187
406.7942,3.565664
407.2763,3.492687
407.7585,3.45586
408.2406,3.44197
408.7227,3.354841
409.2048,3.181242
409.6869,3.043238
410.169,3.078506
410.6512,3.254324
411.1333,3.423263
411.6154,3.575347
412.0975,3.67628
412.5796,3.630764
413.0617,3.469561
413.5439,3.344141
414.026,3.392371
414.5081,3.508444
414.9902,3.553756
415.4723,3.519264
415.9544,3.409161
416.4366,3.144312
416.9187,2.823987
417.4008,2.597648
417.8829,2.608425
418.365,2.652207
418.8471,2.609646
419.3293,2.492211
419.8114,2.369152
420.2935,2.296916
420.7756,2.212111
421.2577,2.069172
421.7398,1.820212
422.222,1.588158
422.7041,1.410575
423.1862,1.263839
423.6683,1.104537
424.1504,0.911814
424.6325,0.718529
425.1147,0.527624
425.5968,0.332447
426.0789,0.171954
426.561,0.0090500005
427.0431,0.085975997
427.5252,0.031134
428.0074,0.286374
428.4895,0.484186
428.9716,0.482179
429.4537,0.343853
429.9358,0.273952
430.4179,0.292944
430.9001,0.307737
431.3822,0.257327
431.8643,0.139996
432.3464,0.087715
432.8285,0.120949
433.3106,0.153844
433.7928,0.048618
434.2749,0.175089
434.757,0.037531
435.2391,0.040447999
435.7212,0.043037999
436.2033,0.001496
436.6855,0.089126997
437.1676,0.180517
437.6497,0.125667
438.1318,0.059898999
438.6139,0.046553001
439.096,0.105652
439.5782,0.162247
440.0603,0.140481
440.5424,0.073420003
441.0245,0.023197001
441.5066,0.0041749999
441.9887,0.019258
442.4709,0.094058998
442.953,0.18018
443.4351,0.085874997
443.9172,0.080048002
444.3993,0.111895
444.8814,0.148179
445.3636,0.158614
445.8457,0.147554
446.3278,0.073852003
446.8099,0.233203
447.292,0.409797
447.7741,0.37302
448.2563,0.291719
448.7384,0.20364
449.2205,0.103308
449.7026,0.026206
450.1847,0.04197
450.6668,0.069264002
451.149,0.014781
451.6311,0.285097
452.1132,0.34886
452.5953,0.059999999
453.0774,0.058995999
453.5595,0.071364
454.0417,0.163639
454.5238,0.065968998
455.0059,0.003388
455.488,0.080646001
455.9701,0.223353
456.4522,0.070146002
456.9344,0.325777
457.4165,0.345405
457.8986,0.191266
458.3807,0.034816999
458.8628,0.074160002
459.3449,0.156796
459.8271,0.253712
460.3092,0.142126
460.7913,0.112199
461.2734,0.266345
461.7555,0.043674
462.2376,0.176425
462.7198,0.399923
463.2019,0.532696
463.684,0.432762
464.1661,0.247897
464.6482,0.156915
465.1303,0.213017
465.6125,0.360231
466.0946,0.682542
466.5767,1.143156
467.0588,1.385007
467.5409,1.202274
468.023,0.954515
468.5052,0.788966
468.9873,0.711986
469.4694,0.714262
469.9515,0.861778
470.4336,1.032074
470.9157,1.012929
471.3979,0.709723
471.88,0.553106
472.3621,0.70254
472.8442,1.080378
473.3263,1.341659
473.8084,1.486445
474.2906,1.514736
474.7727,1.337911
475.2548,1.018229
475.7369,0.877985
476.219,0.973886
476.7011,1.153085
477.1833,1.215618
477.6654,1.21049
478.1475,1.274003
478.6296,1.589523
479.1117,1.913125
479.5938,1.948913
480.076,1.736486
480.5581,1.541222
481.0402,1.459585
481.5223,1.490305
482.0044,1.674029
482.4865,2.120507
482.9687,2.435388
483.4508,2.410979
483.9329,2.194486
484.415,1.995537
484.8971,1.760899
485.3792,1.641433
485.8614,1.762006
486.3435,2.090666
486.8256,2.192121
487.3077,1.846965
487.7898,1.531547
488.2719,1.530406
488.7541,1.979512
489.2362,2.291978
489.7183,2.41498
490.2004,2.466859
490.6825,2.656654
491.1646,3.007185
491.6468,3.266525
492.1289,3.328982
492.611,3.255791
493.0931,3.149444
493.5752,3.012064
494.0573,2.959907
494.5395,3.137749
495.0216,3.44811
495.5037,3.71385
495.9858,3.910277
496.4679,4.032201
496.95,3.837199
497.4322,3.595841
497.9143,3.768837
498.3964,5.102452
498.8785,6.395424
499.3606,6.869123
499.8427,6.672447
500.3249,6.482838
500.807,6.405358
501.2891,6.502233
501.7712,6.841067
502.2533,7.543962
502.7354,8.153549
503.2176,8.518976
503.6997,8.836608
504.1818,9.307433
504.6639,10.01998
505.146,10.69946
505.6281,11.28325
506.1103,11.82762
506.5924,12.5283
507.0745,13.41134
507.5566,14.35807
508.0387,15.3003
508.5208,16.2405
509.003,17.26974
509.4851,18.38882
509.9672,19.49223
510.4493,20.38616
510.9314,21.16874
511.4135,22.17586
511.8957,23.52876
512.3778,25.01236
512.8599,26.40062
513.342,27.71537
513.8242,29.01548
514.3063,30.32625
514.7884,31.67139
515.2705,33.09642
515.7526,34.59418
516.2347,36.08758
516.7169,37.39678
517.199,38.76431
517.6811,40.37989
518.1632,42.61214
518.6453,44.65715
519.1274,46.35015
519.6096,47.84705
520.0917,49.34995
520.5738,50.87091
521.0559,52.37818
521.538,53.95639
522.0201,55.57571
522.5023,56.5452
522.9844,56.69574
523.4665,56.71769
523.9486,57.20891
524.4307,58.12745
524.9128,58.57402
525.395,58.46589
525.8771,57.90496
526.3592,56.90365
526.8413,55.53814
527.3234,54.04557
527.8055,52.52457
528.2877,50.92873
528.7698,49.1506
529.2519,47.23979
529.734,45.31733
530.2161,43.46894
530.6982,41.62665
531.1804,39.66544
531.6625,37.57735
532.1446,35.56044
532.6267,33.70057
533.1088,31.94039
533.5909,30.25282
534.0731,28.49791
534.5552,26.97319
535.0373,25.7892
535.5194,24.83541
536.0015,23.74966
536.4836,22.35241
536.9658,21.19623
537.4479,20.54557
537.93,20.37943
538.4121,19.91735
538.8942,19.11383
539.3763,18.27809
539.8585,17.72025
540.3406,17.37958
540.8227,16.87203
541.3048,16.06858
541.7869,15.31838
542.269,15.13957
542.7512,15.33505
543.2333,15.41861
543.7154,15.1623
544.1975,14.74403
544.6796,14.20417
545.1617,13.58633
545.6439,13.107
546.126,13.07521
546.6081,13.05239
547.0902,12.74038
547.5723,12.00738
548.0544,11.3898
548.5366,11.04031
549.0187,10.78925
549.5008,10.47695
549.9829,10.03989
550.465,9.697645
550.9471,9.507996
551.4293,9.402987
551.9114,9.233183
552.3935,9.001307
552.8756,8.694802
553.3577,8.281099
553.8398,7.786657
554.322,7.326165
554.8041,6.898497
555.2862,6.502192
555.7683,6.095428
556.2504,5.718418
556.7325,5.426626
557.2147,5.235707
557.6968,5.083955
558.1789,4.909001
558.661,4.741754
559.1431,4.629414
559.6252,4.73955
560.1074,4.753153
560.5895,4.437156
561.0716,3.903038
561.5537,3.530633
562.0358,3.583539
562.5179,3.623332
563.0001,3.471692
563.4822,3.102697
563.9643,2.840381
564.4464,2.756878
564.9285,2.678443
565.4106,2.442298
565.8928,2.004165
566.3749,1.716277
566.857,1.639872
567.3391,1.639232
567.8212,1.47395
568.3033,1.172569
568.7855,0.960789
569.2676,0.943552
569.7497,1.025745
570.2318,1.145871
570.7139,1.265294
