WavwNum_Pimelite,value_Pimelite
100.0,0.0
119.7619,0.95314973
123.09524,0.82019626
126.42857,0.57993036
129.7619,0.46153846
133.09524,0.31180753
136.19048,0.22950301
139.52381,0.17252295
142.85714,0.093067426
146.19048,0.062361507
149.52381,0.037986705
152.85714,0.017727129
156.19048,0.010446344
159.28571,0.00031655587
162.61905,-0.00031655587
165.95238,0.0
169.28571,0.013611903
172.61905,0.039569484
175.95238,0.089585312
179.28571,0.24849636
182.61905,0.37575182
185.71429,0.44539411
189.04762,0.42956632
192.38095,0.33808167
195.71429,0.21114277
199.04762,0.11712567
202.38095,0.05444761
205.71429,0.02532447
208.80952,0.011079456
212.14286,0.0022158911
218.80952,-0.00031655587
222.14286,-0.00031655587
225.47619,0.0012662235
228.80952,0.014245014
231.90476,0.01456157
235.2381,0.009813232
238.57143,0.0075973409
241.90476,0.0037986705
245.2381,-0.00031655587
248.57143,-0.00031655587
251.90476,0.0063311174
255.0,0.0063311174
258.33333,0.0
261.66667,0.0
265.0,0.0022158911
268.33333,-0.00031655587
271.66667,-0.00031655587
275.0,-0.00031655587
278.09524,0.00031655587
281.42857,0.0
284.7619,0.0015827794
288.09524,0.016777461
291.42857,0.016460905
294.7619,0.014245014
298.09524,0.014878126
301.19048,0.012662235
304.52381,0.010446344
307.85714,0.0047483381
311.19048,0.0063311174
314.52381,0.0056980057
317.85714,0.011396011
321.19048,0.012978791
324.28571,0.0072807851
327.61905,0.0072807851
330.95238,0.015511238
334.28571,0.014245014
337.61905,0.015194682
340.95238,0.019309908
344.28571,0.01994302
347.61905,0.01994302
350.71429,0.025957582
354.04762,0.042418487
357.38095,0.04368471
360.71429,0.06900918
364.04762,0.070275404
367.38095,0.057613169
370.71429,0.060462172
373.80952,0.062678063
377.14286,0.071541627
380.47619,0.088319088
383.80952,0.097499209
387.14286,0.0997151
390.47619,0.084836974
393.80952,0.08357075
396.90476,0.04526749
400.2381,0.037670149
403.57143,0.032605255
406.90476,0.024691358
410.2381,0.024691358
413.57143,0.027540361
416.90476,0.028490028
420.0,0.02912314
423.33333,0.029439696
426.66667,0.026274137
430.0,0.028490028
433.33333,0.031339031
436.66667,0.031022475
440.0,0.021209243
443.09524,0.01994302
446.42857,0.022475467
449.7619,0.022475467
453.09524,0.022792023
456.42857,0.022792023
459.7619,0.021842355
463.09524,0.027540361
466.19048,0.03070592
469.52381,0.035454258
472.85714,0.021209243
476.19048,0.016777461
479.52381,0.0022158911
486.19048,0.0
489.28571,0.0028490028
492.61905,0.0082304527
495.95238,0.0069642292
499.28571,0.0034821146
502.61905,0.012345679
505.95238,0.011712567
509.28571,0.0
512.61905,0.0
515.71429,0.0
519.04762,0.00094966762
522.38095,0.0085470085
525.71429,0.0085470085
529.04762,-0.00031655587
532.38095,0.00063311174
535.71429,0.00094966762
538.80952,0.0015827794
542.14286,0.002532447
545.47619,-0.00031655587
548.80952,0.00094966762
552.14286,0.0088635644
555.47619,0.011396011
558.80952,0.0091801203
561.90476,0.0091801203
565.2381,0.014245014
568.57143,0.0082304527
571.90476,0.0066476733
575.2381,0.0063311174
578.57143,0.0034821146
581.90476,-0.00031655587
585.0,-0.00031655587
588.33333,0.00031655587
591.66667,0.00031655587
595.0,-0.00031655587
598.33333,0.002532447
601.66667,0.0044317822
605.0,0.0022158911
608.09524,0.0022158911
611.42857,0.0012662235
614.7619,0.0022158911
618.09524,0.0037986705
621.42857,0.002532447
624.7619,0.0028490028
628.09524,0.0034821146
631.19048,0.016460905
634.52381,0.048433048
