WavwNum_Spinel,value_Spinel
465.0297,0.408356
465.5118,0.234711
465.9939,1.337616
466.476,2.801453
466.9582,3.2789
467.4403,1.977539
467.9224,0.97406
468.4045,0.417755
468.8866,0.141052
469.3687,0.113495
469.8509,0.42569
470.333,0.557037
470.8151,0.42926
471.2972,0.054016002
471.7793,0.515717
472.2614,1.444458
472.7436,2.119965
473.2257,1.81601
473.7078,0.501282
474.1899,0.248322
474.672,1.444489
475.1541,3.083557
475.6363,3.708069
476.1184,3.421173
476.6005,2.867584
477.0826,1.989258
477.5647,1.180298
478.0468,1.234833
478.529,2.071655
479.0111,2.964874
479.4932,3.619812
479.9753,3.951996
480.4574,3.747894
480.9395,2.782318
481.4217,1.925995
481.9038,1.758392
482.3859,2.022705
482.868,2.377045
483.3501,2.610504
483.8322,3.037445
484.3144,4.088654
484.7965,5.61908
485.2786,6.287537
485.7607,5.001434
486.2428,3.509827
486.7249,2.682404
487.2071,2.829285
487.6892,3.0578
488.1713,3.637817
488.6534,4.104828
489.1355,3.596985
489.6176,1.546326
490.0998,0.292358
490.5819,0.723053
491.064,2.373291
491.5461,2.672211
492.0282,1.453827
492.5103,0.095000997
492.9925,0.436127
493.4746,0.268219
493.9567,0.049896002
494.4388,0.523102
494.9209,0.804443
495.403,0.331696
495.8852,0.640411
496.3673,1.527039
496.8494,2.414703
497.3315,2.847992
497.8136,1.974854
498.2957,0.126587
498.7779,1.321899
499.26,1.393433
499.7421,0.98172
500.2242,0.712524
500.7063,0.720398
501.1884,0.641693
501.6706,0.428284
502.1527,0.053925
502.6348,0.496216
503.1169,1.738342
503.599,2.52121
504.0811,2.502014
504.5633,1.895294
505.0454,1.565491
505.5275,1.825928
506.0096,1.847076
506.4917,1.114655
506.9738,0.503784
507.456,1.212189
507.9381,0.787659
508.4202,0.070587002
508.9023,0.130188
509.3844,0.155304
509.8665,0.681976
510.3487,1.463043
510.8308,2.260315
511.3129,2.599762
511.795,2.585907
512.2772,2.537567
512.7593,2.763275
513.2414,3.025513
513.7235,2.872375
514.2056,2.366272
514.6877,2.079193
515.1699,2.566803
515.652,3.390228
516.1341,4.194061
516.6162,5.0177
517.0983,5.552338
517.5804,5.507782
518.0626,5.156891
518.5447,4.938599
519.0268,4.770538
519.5089,4.940369
519.991,5.758392
520.4731,7.149506
520.9553,7.783844
521.4374,7.3013
521.9195,6.684509
522.4016,6.453461
522.8837,6.736786
523.3658,6.85556
523.848,6.750336
524.3301,6.548981
524.8122,6.405121
525.2943,6.309174
525.7764,6.107635
526.2585,5.590149
526.7407,5.130432
527.2228,5.74411
527.7049,7.190247
528.187,8.117859
528.6691,6.999359
529.1512,5.259583
529.6334,4.563965
530.1155,5.039948
530.5976,5.797577
531.0797,6.750946
531.5618,7.510895
532.0439,7.591492
532.5261,6.330963
533.0082,5.169922
533.4903,4.439667
533.9724,4.098145
534.4545,4.00058
534.9366,4.211792
535.4188,4.530731
535.9009,4.998413
536.383,5.614105
536.8651,6.096832
537.3472,6.561554
537.8293,6.692841
538.3115,6.014526
538.7936,4.415375
539.2757,3.89151
539.7578,4.835022
540.2399,6.060547
540.722,5.397919
541.2042,3.332092
541.6863,2.706024
542.1684,5.212067
542.6505,8.607483
543.1326,9.724823
543.6147,8.931732
544.0969,7.63678
544.579,6.068878
545.0611,4.754883
545.5432,4.275726
546.0253,4.71463
546.5074,5.15387
546.9896,5.269806
547.4717,5.190613
547.9538,4.999451
548.4359,4.28186
548.918,4.086731
549.4001,5.039825
549.8823,6.396149
550.3644,6.757935
550.8465,5.312286
551.3286,4.506805
551.8107,5.345734
552.2928,7.436005
552.775,7.798615
553.2571,6.117218
553.7392,4.176086
554.2213,3.14505
554.7034,2.901001
555.1855,2.670013
555.6677,2.460297
556.1498,2.610535
556.6319,3.884247
557.114,5.624603
557.5961,6.421997
558.0782,5.425049
558.5604,4.130066
559.0425,3.638977
559.5246,3.757446
560.0067,4.069305
560.4888,4.92804
560.9709,5.401215
561.4531,4.815613
561.9352,3.21344
562.4173,2.269684
562.8994,2.884003
563.3815,3.594543
563.8636,3.712158
564.3458,3.088531
564.8279,2.465454
565.31,1.653473
565.7921,0.874146
566.2742,0.466705
566.7563,0.479309
567.2385,0.078339003
567.7206,0.825867
568.2027,1.257813
568.6848,1.382874
569.1669,0.228027
569.649,0.727539
570.1312,0.560425
570.6133,0.367004
571.0954,1.103241
571.5775,0.152039
572.0596,0.855988
572.5417,0.878571
573.0239,1.216339
573.506,0.894379
573.9881,0.782074
574.4702,1.339966
574.9523,1.528625
575.4344,1.134216
575.9166,1.501465
576.3987,0.500397
576.8808,0.695801
577.3629,1.407776
577.845,1.040955
578.3271,1.41684
578.8093,1.508606
579.2914,0.313019
579.7735,1.353302
580.2556,1.424957
580.7377,0.502197
581.2198,1.462433
581.702,0.674561
582.1841,0.509491
582.6662,0.812897
583.1483,0.62561
583.6304,1.20752
584.1125,1.042908
584.5947,0.808685
585.0768,0.865723
585.5589,0.104187
586.041,0.86496
586.5231,0.584503
587.0052,0.81424
587.4873,1.157227
587.9694,0.603271
588.4515,1.001556
588.9337,0.071135998
589.4158,0.088744998
589.8979,0.114899
590.38,0.925537
590.8621,0.219086
591.3442,0.759521
591.8264,0.74881
592.3085,0.157257
592.7906,0.484192
593.2727,1.214417
593.7548,1.760834
594.2369,1.528687
594.7191,0.778229
595.2012,0.639832
595.6833,1.711517
596.1654,2.835663
596.6475,2.426025
597.1296,1.078979
597.6118,0.172424
598.0939,0.766388
598.576,1.571991
599.0581,1.914825
599.5402,1.819489
600.0223,1.685272
600.5045,1.330902
600.9866,1.156128
601.4687,1.398956
601.9508,2.199066
602.4329,2.837708
602.915,3.391541
603.3972,3.672211
603.8793,3.433289
604.3614,2.61673
604.8435,1.791626
605.3256,0.936798
605.8077,0.294281
606.2899,0.510284
606.772,1.375305
607.2541,1.892059
607.7362,1.482483
608.2183,0.74176
608.7004,0.103546
609.1826,0.330383
609.6647,0.174011
610.1468,1.814667
610.6289,3.604065
611.111,3.698608
611.5931,1.96814
612.0753,0.504272
612.5574,0.495544
613.0395,0.913025
613.5216,0.605377
614.0037,0.962524
614.4858,1.865753
614.968,1.824951
615.4501,1.474182
615.9322,1.6633
616.4143,2.435089
616.8964,2.800568
617.3785,2.490448
617.8607,1.851501
618.3428,1.453552
618.8249,1.247345
619.307,1.028931
619.7891,0.430359
620.2712,0.035461001
620.7534,0.463867
621.2355,1.68692
621.7176,2.487152
622.1997,1.863037
622.6818,1.027771
623.1639,0.668854
623.6461,0.9086
624.1282,1.177521
624.6103,1.61731
625.0924,1.903503
625.5745,1.816132
626.0566,1.05545
626.5388,0.759094
627.0209,1.127106
627.503,1.620148
627.9851,1.152649
628.4672,0.198242
628.9493,0.669922
629.4315,0.418945
629.9136,2.002014
630.3957,2.17688
630.8778,1.368622
631.3599,0.824188
631.842,1.487579
632.3242,2.398773
632.8063,2.660767
633.2884,2.434265
633.7705,2.684631
634.2526,4.553528
634.7347,6.29129
635.2169,6.817871
635.699,5.784698
636.1811,5.501923
636.6632,6.288361
637.1453,7.395721
637.6274,8.337189
638.1096,9.051056
638.5917,9.93869
639.0738,11.17282
639.5559,12.36353
640.038,12.86377
640.5201,12.80966
641.0023,12.95715
641.4844,13.4487
641.9665,14.40845
642.4486,16.26703
642.9307,18.70297
643.4128,20.96426
643.895,22.42819
644.3771,24.01938
644.8592,26.40884
645.3413,29.41006
645.8234,31.93744
646.3055,32.88477
646.7877,34.26248
647.2698,36.8905
647.7519,40.82779
648.234,44.50677
648.7161,47.58249
649.1982,50.9133
649.6804,55.32135
650.1625,60.70248
650.6446,65.63638
651.1267,69.94788
651.6088,74.31143
652.0909,79.46219
652.5731,85.06119
653.0552,90.55298
653.5373,95.65219
654.0194,100.9329
654.5015,106.8561
654.9836,113.253
655.4658,119.9094
655.9479,127.1205
656.43,134.1932
656.9121,140.9333
657.3942,147.5104
657.8763,154.2913
658.3585,161.1939
658.8406,168.5969
659.3227,176.7422
659.8048,185.5014
660.2869,194.0874
660.769,202.513
661.2512,210.0534
661.7333,215.9277
662.2154,220.6039
662.6975,225.0079
663.1796,229.1463
663.6617,232.4374
664.1439,235.0997
664.626,236.374
665.1081,235.4578
665.5902,231.9205
666.0723,227.3099
666.5544,222.0565
667.0366,215.8412
667.5187,208.388
668.0008,198.9474
668.4829,189.9075
668.965,181.7476
669.4471,173.7708
669.9293,164.4983
670.4114,153.8885
670.8935,143.8373
671.3756,134.8762
671.8577,126.7853
672.3398,119.1356
672.822,111.8452
673.3041,104.7841
673.7862,97.55185
674.2683,90.79343
674.7504,85.19241
675.2325,80.54486
675.7147,75.97812
676.1968,70.84744
676.6789,65.99951
677.161,61.98767
677.6431,58.80682
678.1252,55.55811
678.6074,52.3688
679.0895,48.93909
679.5716,44.96094
680.0537,40.40353
680.5358,36.3244
681.0179,32.74936
681.5001,29.70364
681.9822,27.35431
682.4643,25.56189
682.9464,24.21674
683.4285,23.42004
683.9106,22.48877
684.3928,21.01981
684.8749,19.09314
685.357,16.7915
685.8391,13.23431
686.3212,10.38608
686.8033,8.901611
687.2855,8.200226
687.7676,7.257477
688.2497,5.779877
688.7318,4.858032
689.2139,4.965851
689.696,5.553833
690.1782,4.974457
690.6603,3.29364
691.1424,1.724457
691.6245,0.245636
692.1066,0.42691
692.5887,2.034058
693.0709,6.698456
693.553,9.512054
694.0351,6.358368
694.5172,2.152222
694.9993,0.044739
695.4814,0.016602
695.9636,0.050292999
696.4457,1.030579
696.9278,1.792786
697.4099,1.697968
697.892,0.542847
698.3741,0.051971
698.8563,0.015807999
699.3384,0.33136
699.8205,0.582031
700.3026,0.770721
700.7847,1.001404
701.2668,1.324249
701.749,1.377106
702.2311,0.349365
702.7132,1.004089
703.1953,1.593079
703.6774,0.857758
704.1595,0.064300999
704.6417,1.20163
705.1238,2.115875
705.6059,2.135406
706.088,0.610809
706.5701,0.753967
707.0522,1.831329
707.5344,2.647125
708.0165,3.157928
708.4986,3.333832
708.9807,3.60614
709.4628,4.019318
709.9449,4.703613
710.4271,6.380951
710.9092,8.654663
711.3913,10.11084
711.8734,9.742676
712.3555,8.507141
712.8376,6.32254
713.3198,3.60376
713.8019,2.323914
714.284,4.547974
714.7661,6.7742
715.2482,7.651276
715.7303,7.22699
716.2125,6.978271
716.6946,6.974396
717.1767,6.951416
717.6588,6.734833
718.1409,6.351532
718.623,5.986694
719.1052,5.633026
719.5873,5.418182
720.0694,5.565063
720.5515,5.844513
721.0336,5.904541
721.5157,5.664703
721.9979,5.575775
722.48,6.047119
722.9621,6.626801
723.4442,6.950714
723.9263,6.887085
724.4084,6.77066
724.8906,6.628387
725.3727,6.395752
725.8548,5.92627
726.3369,5.180359
726.819,4.78125
727.3011,4.891815
727.7833,5.045166
728.2654,4.358704
728.7475,3.26239
729.2296,2.897247
729.7117,4.061523
730.1938,5.026611
730.676,4.118256
731.1581,2.379883
731.6402,1.403198
732.1223,2.290802
732.6044,3.088715
733.0865,3.634216
733.5687,3.875824
734.0508,3.554382
734.5329,2.420441
735.015,1.817383
735.4971,2.244415
735.9792,3.244049
736.4614,3.676086
736.9435,3.690491
737.4256,4.055969
737.9077,5.647217
738.3898,7.38147
738.8719,7.908813
739.3541,7.653625
739.8362,8.109833
740.3183,10.95886
740.8004,13.4664
741.2825,14.25082
741.7646,13.56821
742.2468,13.44031
742.7289,13.76614
743.211,14.90149
743.6931,17.28857
744.1752,20.66132
744.6573,23.60065
745.1395,26.08484
745.6216,28.15436
746.1037,29.30618
746.5858,30.32971
747.0679,32.27762
747.55,35.17557
748.0322,38.12369
748.5143,40.26797
748.9964,42.68817
749.4785,46.15768
749.9606,50.9483
750.4427,55.67273
750.9249,60.27203
751.407,64.97366
751.8891,69.83344
752.3712,74.89276
752.8533,80.29495
753.3354,86.1012
753.8176,92.20206
754.2997,98.51398
754.7818,104.9975
755.2639,111.743
755.746,118.7621
756.2281,125.9609
756.7103,132.6486
757.1924,139.7905
757.6745,148.2784
758.1566,159.55
758.6387,169.4619
759.1208,177.52
759.603,184.9464
760.0851,192.969
760.5672,201.6274
761.0493,210.5302
761.5314,219.6529
762.0135,228.9179
762.4957,238.4926
762.9778,248.0023
763.4599,256.9818
763.942,265.4262
764.4241,273.004
764.9063,280.1188
765.3884,286.0224
765.8705,289.78
766.3526,291.1216
766.8347,290.4707
767.3168,287.8199
767.799,283.196
768.2811,276.4332
768.7632,267.4842
769.2453,257.3892
769.7274,246.4346
770.2095,234.5303
770.6917,221.2492
771.1738,206.975
771.6559,192.2379
772.138,176.4868
772.6201,161.5408
773.1022,148.485
773.5844,136.9582
774.0665,126.441
774.5486,117.3566
775.0307,108.4087
775.5128,99.17911
775.9949,90.18646
776.4771,82.82285
776.9592,77.06363
777.4413,71.77161
777.9234,66.51624
778.4055,61.604
778.8876,57.63739
779.3698,54.41183
779.8519,51.31979
780.334,47.77393
780.8161,44.60822
781.2982,42.53235
781.7803,41.15707
782.2625,39.19748
782.7446,35.59818
783.2267,33.1272
783.7088,32.88385
784.1909,33.82141
784.673,32.59207
785.1552,29.21518
785.6373,26.38364
786.1194,25.41962
786.6015,25.31192
787.0836,24.77802
787.5657,23.90817
788.0479,22.97809
788.53,22.02582
789.0121,21.16385
789.4942,20.49136
789.9763,19.94699
790.4584,19.27588
790.9406,18.33304
791.4227,17.56348
791.9048,17.12839
792.3869,16.93716
792.869,16.73529
793.3511,16.51633
793.8333,16.22681
794.3154,16.03278
794.7975,15.59262
795.2796,14.28561
795.7617,12.36615
796.2438,10.71146
796.726,9.723175
797.2081,8.986176
797.6902,8.293335
798.1723,7.722534
798.6544,7.725555
799.1365,8.624603
799.6187,9.173584
800.1008,8.827026
800.5829,7.930389
801.065,7.491821
801.5471,7.457916
802.0292,7.504425
802.5114,7.552277
802.9935,7.525391
803.4756,7.31723
803.9577,6.969025
804.4398,6.648193
804.9219,6.22525
805.4041,6.055084
805.8862,6.480255
806.3683,7.244354
806.8504,7.045319
807.3325,5.592499
807.8146,4.686371
808.2968,5.296234
808.7789,6.620605
809.261,6.805756
809.7431,6.062988
810.2252,5.253387
810.7073,4.809875
811.1895,4.46759
811.6716,3.653809
812.1537,4.219849
812.6358,4.449127
813.1179,4.35614
813.6,2.976501
814.0822,3.249695
814.5643,2.859009
815.0464,2.445465
815.5285,2.961426
816.0106,1.77713
816.4927,2.279572
816.9749,2.107452
817.457,2.242737
817.9391,1.707916
818.4212,1.374908
818.9033,1.70813
819.3854,1.673004
819.8676,1.059662
820.3497,1.213135
820.8318,0.012421
821.3139,0.564178
821.796,1.251495
822.2781,1.975525
822.7603,2.588104
823.2424,2.727234
823.7245,2.422699
