WavwNum_Corundum,value_Corundum
721.8087,181.502
722.2908,148.1855
722.7729,140.9668
723.2551,216.0508
723.7372,262.0156
724.2193,252.5781
724.7014,205.9648
725.1835,169.3145
725.6656,140.5859
726.1478,129.0508
726.6299,144.7168
727.112,176.3418
727.5941,190.6328
728.0762,188.7324
728.5583,181.9453
729.0405,176.7305
729.5226,171.0059
730.0047,163.5957
730.4868,154.6855
730.9689,142.6797
731.451,135.1445
731.9332,119.3633
732.4153,83.92969
732.8974,16.60156
733.3795,36.08008
733.8616,85.59961
734.3438,101.7598
734.8259,27.85156
735.308,133.1152
735.7901,224.0215
736.2722,211.3262
736.7543,164.5137
737.2365,164.9648
737.7186,196.7617
738.2007,227.6836
738.6828,240.5996
739.1649,256.6992
739.647,289.8711
740.1292,333.7969
740.6113,374.3984
741.0934,401.3945
741.5755,434.4121
742.0576,479.2949
742.5397,532.8477
743.0219,582.3984
743.504,629.4629
743.9861,663.2891
744.4682,664.9414
744.9503,652.1172
745.4324,680.4746
745.9146,746.3086
746.3967,811.1348
746.8788,850.8105
747.3609,875.9395
747.843,893.2207
748.3251,902.5957
748.8073,908.4258
749.2894,915.8359
749.7715,919.0312
750.2536,915.1738
750.7357,905.9219
751.2178,881.2793
751.7,836.5254
752.1821,787.5195
752.6642,747.1094
753.1463,717.0566
753.6284,711.6914
754.1105,741.7227
754.5927,768.8242
755.0748,755.1738
755.5569,710.6582
756.039,650.8965
756.5211,551.8398
757.0032,472.0586
757.4854,440.8418
757.9675,440.8379
758.4496,428.8438
758.9317,395.7285
759.4138,364.5254
759.8959,337.0312
760.3781,316.6035
760.8602,316.0
761.3423,331.4551
761.8244,331.3691
762.3065,280.873
762.7886,215.9512
763.2708,176.0195
763.7529,161.2129
764.235,169.2871
764.7171,231.1426
765.1992,287.3984
765.6813,295.2832
766.1635,243.2676
766.6456,233.3906
767.1277,290.2988
767.6098,348.5859
768.0919,366.1055
768.574,343.377
769.0562,312.3672
769.5383,271.9512
770.0204,238.1641
770.5025,231.0879
770.9846,239.0312
771.4667,243.584
771.9489,241.5918
772.431,237.8359
772.9131,232.8691
773.3952,228.3672
773.8773,226.332
774.3594,237.5723
774.8416,232.8184
775.3237,199.8926
775.8058,163.5332
776.2879,163.5449
776.77,200.248
777.2521,224.9668
777.7343,226.1094
778.2164,215.4824
778.6985,208.5312
779.1806,202.7188
779.6627,191.9863
780.1448,150.8008
780.627,128.1328
781.1091,169.4863
781.5912,247.6348
782.0733,278.7285
782.5554,227.334
783.0375,177.4219
783.5197,142.5762
784.0018,124.0703
784.4839,135.8086
784.966,178.7285
785.4481,213.1211
785.9302,216.3965
786.4124,200.168
786.8945,178.7656
787.3766,153.7832
787.8587,133.3926
788.3408,127.2812
788.8229,123.1973
789.3051,107.7559
789.7872,78.76758
790.2693,86.04883
790.7514,163.4082
791.2335,223.9824
791.7156,205.584
792.1978,111.873
792.6799,90.85742
793.162,144.4727
793.6441,201.6719
794.1262,195.7891
794.6083,158.0645
795.0905,133.4023
795.5726,127.0645
796.0547,125.8828
796.5368,115.6445
797.0189,112.2891
797.501,132.6797
797.9832,198.5352
798.4653,230.2285
798.9474,212.4199
799.4295,184.5488
799.9116,195.1426
800.3937,239.9473
800.8759,250.0938
801.358,210.4258
801.8401,167.9434
802.3222,176.0801
802.8043,213.5449
803.2864,251.6914
803.7686,302.5098
804.2507,318.0801
804.7328,243.7871
805.2149,140.8008
805.697,95.54492
806.1791,135.8535
806.6613,165.8008
807.1434,173.1602
807.6255,166.5547
808.1076,152.207
808.5897,133.8047
809.0718,138.5527
809.554,191.4648
810.0361,241.6621
810.5182,230.3828
811.0003,181.3516
811.4824,141.0273
811.9645,118.4434
812.4467,114.5645
812.9288,148.0215
813.4109,197.5156
813.893,206.4863
814.3751,166.1836
814.8572,122.4004
815.3394,85.29492
815.8215,57.28711
816.3036,43.85352
816.7857,46.08789
817.2678,61.71289
817.7499,104.9863
818.2321,146.6934
818.7142,162.1484
819.1963,154.5859
819.6784,143.9102
820.1605,81.29492
820.6426,83.59375
821.1248,223.3516
821.6068,458.7598
822.0889,508.7188
822.571,356.5215
823.0532,208.3906
823.5353,167.8301
824.0174,207.7734
824.4995,328.0449
824.9816,503.3965
825.4637,595.498
825.9459,438.7402
826.428,256.8906
826.9101,181.1211
