WavwNum_Armalcolite,value_Armalcolite
347.4604,3.788666
347.9425,3.175369
348.4246,1.851715
348.9067,1.215126
349.3888,1.421974
349.8709,1.936661
350.3531,2.168793
350.8352,2.171501
351.3173,2.137215
351.7994,2.095901
352.2815,2.065002
352.7636,2.077377
353.2458,2.129456
353.7279,2.219475
354.21,2.448654
354.6921,2.700172
355.1742,2.774384
355.6563,2.559052
356.1385,2.190613
356.6206,1.667114
357.1027,1.043098
357.5848,0.619873
358.0669,0.602959
358.549,0.856827
359.0312,1.333504
359.5133,2.286476
359.9954,2.932388
360.4775,2.488052
360.9596,1.36628
361.4417,0.4953
361.9239,0.328224
362.406,0.44603
362.8881,0.670013
363.3702,1.008423
363.8523,1.309898
364.3344,1.573868
364.8166,1.756241
365.2987,1.810509
365.7808,1.48185
366.2629,1.265221
366.745,1.42395
367.2271,1.953812
367.7093,2.18721
368.1914,1.597603
368.6735,0.964394
369.1556,0.798805
369.6377,1.599785
370.1198,2.275856
370.602,2.832161
371.0841,3.239311
371.5662,3.388443
372.0483,3.225304
372.5304,2.866173
373.0125,2.282272
373.4947,1.240585
373.9768,0.701157
374.4589,0.929886
374.941,1.441307
375.4231,1.393867
375.9052,0.537331
376.3874,0.173622
376.8695,0.432701
377.3516,0.249878
377.8337,0.027496001
378.3158,0.45285
378.7979,0.841049
379.2801,1.000488
379.7622,0.926575
380.2443,0.743317
380.7264,0.40889
381.2085,0.032683998
381.6906,0.014664
382.1728,0.274376
382.6549,0.488274
383.137,0.103622
383.6191,0.643616
384.1012,0.655373
384.5833,0.354767
385.0655,1.505928
385.5476,1.475426
386.0297,0.539345
386.5118,0.29583
386.9939,0.438843
387.476,0.241302
387.9582,0.233147
388.4403,0.427269
388.9224,0.580154
389.4045,0.460358
389.8866,0.182869
390.3687,0.101929
390.8509,0.459312
391.333,0.683113
391.8151,0.50631
392.2972,0.031714998
392.7793,0.326614
393.2614,0.289124
393.7436,0.105408
394.2257,0.059296001
394.7078,0.188019
395.1899,0.262787
395.672,0.195236
396.1541,0.082771003
396.6363,0.082298003
397.1184,0.223854
397.6005,0.489594
398.0826,0.979202
398.5647,1.756516
399.0468,2.222168
399.529,2.131447
400.0111,1.80999
400.4932,1.51181
400.9753,1.061066
401.4574,0.87471
401.9395,1.112061
402.4217,1.672935
402.9038,2.073418
403.3859,2.28112
403.868,2.37072
404.3501,2.377541
404.8322,2.30397
405.3144,2.098007
405.7965,1.602806
406.2786,1.152504
406.7607,1.447029
407.2428,2.674652
407.7249,3.63546
408.2071,3.844223
408.6892,3.423347
409.1713,3.105042
409.6534,2.883469
410.1355,2.792274
410.6176,2.971619
411.0998,3.354309
411.5819,3.495827
412.064,3.199097
412.5461,2.811623
413.0282,2.965668
413.5103,3.582458
413.9925,4.19503
414.4746,4.573441
414.9567,4.76416
415.4388,4.796196
415.9209,4.657829
416.403,4.513245
416.8852,4.57666
417.3673,4.71405
417.8494,4.703247
418.3315,4.274048
418.8136,3.821121
419.2957,3.700623
419.7779,3.845284
420.26,3.775566
420.7421,3.043045
421.2242,2.15435
421.7063,1.479019
422.1884,1.060074
422.6706,0.874855
423.1527,1.062454
423.6348,1.460854
424.1169,1.764923
424.599,1.81916
425.0811,1.883751
425.5633,2.093987
426.0454,2.506897
426.5275,2.64978
427.0096,2.309776
427.4917,1.872047
427.9738,1.647415
428.456,1.719162
428.9381,1.829895
429.4202,1.963837
429.9023,2.113297
430.3844,2.257759
430.8665,2.394478
431.3487,2.531738
431.8308,2.693092
432.3129,2.887749
432.795,2.988159
433.2771,2.987602
433.7592,2.901161
434.2414,2.761925
434.7235,2.561798
435.2056,2.210426
435.6877,1.50676
436.1698,0.74147
436.6519,0.717865
437.1341,1.390923
437.6162,1.95639
438.0983,1.467712
438.5804,0.554176
439.0625,0.418327
439.5446,1.452675
440.0268,2.625839
440.5089,2.961967
440.991,2.754333
441.4731,2.579636
441.9552,3.090965
442.4373,3.499214
442.9195,2.987877
443.4016,1.573578
443.8837,0.606438
444.3658,0.921928
444.8479,1.740341
445.33,2.454277
445.8122,2.710495
446.2943,3.135254
446.7764,4.347847
447.2585,5.841354
447.7406,6.286964
448.2227,4.139381
448.7049,2.374199
449.187,2.063515
449.6691,3.601624
450.1512,4.174713
450.6333,3.170723
451.1154,1.857697
451.5976,1.471153
452.0797,2.276604
452.5618,3.143272
453.0439,3.981834
453.526,4.72744
454.0081,5.190445
454.4903,5.343979
454.9724,5.39856
455.4545,5.503197
455.9366,5.628296
456.4187,5.49015
456.9008,5.029541
457.383,4.587631
457.8651,4.720192
458.3472,5.233063
458.8293,5.459595
459.3114,4.890747
459.7935,4.231361
460.2757,4.564781
460.7578,5.695442
461.2399,6.639595
461.722,6.614395
462.2041,6.211479
462.6862,5.98156
463.1684,6.055397
463.6505,6.165321
464.1326,6.325119
464.6147,6.458328
465.0968,6.464661
465.5789,6.039574
466.0611,5.756302
466.5432,5.982201
467.0253,6.641541
467.5074,6.868309
467.9895,6.060669
468.4716,5.20359
468.9538,4.744781
469.4359,4.72419
469.918,5.064064
470.4001,6.09848
470.8822,7.264267
471.3643,7.649071
471.8465,6.966202
472.3286,6.314415
472.8107,5.898239
473.2928,5.745132
473.7749,6.192215
474.257,7.337845
474.7392,8.395332
475.2213,8.637245
475.7034,8.111168
476.1855,7.677727
476.6676,7.472595
477.1497,7.474335
477.6319,7.830559
478.114,8.405609
478.5961,8.748322
479.0782,8.424683
479.5603,7.936295
480.0424,7.891602
480.5246,8.221733
481.0067,8.596962
481.4888,8.87468
481.9709,9.028839
482.453,9.131523
482.9352,9.272728
483.4173,9.162125
483.8994,8.239067
484.3815,7.080116
484.8636,6.579033
485.3457,7.693581
485.8279,8.711578
486.31,9.198029
486.7921,9.154739
487.2742,8.93499
487.7563,8.18187
488.2384,7.559746
488.7206,7.561302
489.2027,8.664894
489.6848,9.082932
490.1669,8.564415
490.649,7.610069
491.1311,7.001579
491.6133,6.775734
492.0954,6.64418
492.5775,6.56636
493.0596,6.476479
493.5417,6.153221
494.0238,5.595039
494.506,5.134422
494.9881,5.121826
495.4702,5.390511
495.9523,5.517723
496.4344,5.444122
496.9165,5.35128
497.3987,5.290661
497.8808,5.209435
498.3629,5.165989
498.845,5.289703
499.3271,5.356552
499.8092,5.181519
500.2914,4.800247
500.7735,4.430626
501.2556,4.122971
501.7377,3.878811
502.2198,3.696995
502.7019,3.563263
503.1841,3.4646
503.6662,3.405308
504.1483,3.380684
504.6304,3.386135
505.1125,3.424019
505.5946,3.485744
506.0768,3.61343
506.5589,3.767502
507.041,3.712418
507.5231,3.35429
508.0052,3.049236
508.4873,2.969006
508.9695,3.11594
509.4516,3.505684
509.9337,4.225765
510.4158,4.818867
510.8979,4.665649
511.38,3.909912
511.8622,3.112026
512.3443,2.209843
512.8264,1.534313
513.3085,1.599964
513.7906,2.264168
514.2728,3.015282
514.7549,3.855
515.237,4.461201
515.7191,4.376957
516.2012,3.527233
516.6833,2.917736
517.1655,3.257561
517.6476,3.909416
518.1297,4.334045
518.6118,4.7033
519.0939,4.486485
519.576,2.944973
520.0582,0.796574
520.5403,0.27013
521.0224,0.57164
521.5045,1.34589
521.9866,1.386421
522.4688,0.695763
522.9509,0.809742
523.433,2.074306
523.9151,3.337765
524.3972,3.588093
524.8793,2.797218
525.3615,2.273594
525.8436,2.170479
526.3257,2.249313
526.8078,2.070374
527.2899,1.725346
527.772,1.685364
528.2542,2.493103
528.7363,3.425468
529.2184,3.509701
529.7005,2.827862
530.1826,1.831337
530.6647,0.356884
531.1469,1.041355
531.629,1.963943
532.1111,2.374046
532.5932,2.166027
533.0753,0.723267
533.5574,1.111637
534.0396,2.440968
534.5217,3.07613
535.0038,3.249954
535.4859,2.84473
535.968,2.000069
536.4501,1.094357
536.9323,0.082484998
537.4144,0.96524
537.8965,1.33902
538.3786,1.200665
538.8607,0.649357
539.3428,0.475433
539.825,1.504108
540.3071,1.611931
540.7892,0.919964
541.2713,0.683907
541.7534,1.22681
542.2355,1.907734
542.7177,1.748116
543.1998,0.960445
543.6819,0.224754
544.164,0.222332
544.6461,0.413483
545.1282,0.313137
545.6104,0.048992001
546.0925,0.485367
546.5746,1.240799
547.0567,1.796932
547.5388,1.702953
548.0209,0.638229
548.5031,0.197365
548.9852,0.529018
549.4673,0.529537
549.9494,0.370483
550.4315,0.13987
550.9136,0.497334
551.3958,0.614857
551.8779,0.554382
552.36,0.519073
552.8421,0.551914
553.3242,0.44442
553.8063,0.072136
554.2885,0.873356
554.7706,0.823978
555.2527,0.144363
555.7348,1.240623
556.2169,1.868874
556.699,2.085526
557.1812,2.002762
557.6633,1.587624
558.1454,1.076939
558.6275,0.481804
559.1096,0.015686
559.5917,0.106972
560.0739,0.924767
560.556,1.835682
561.0381,1.779671
561.5202,0.999928
562.0023,0.582146
562.4844,1.22794
562.9666,1.926987
563.4487,2.212711
563.9308,1.995552
564.4129,1.776814
564.895,1.509159
565.3771,1.290661
565.8593,1.230392
566.3414,1.39006
566.8235,1.449009
567.3056,1.388031
567.7877,1.194813
568.2698,0.658913
568.752,0.179436
569.2341,0.528057
569.7162,0.293728
570.1983,1.532234
570.6804,1.677883
571.1625,0.869625
571.6447,0.081744999
572.1268,0.022072
572.6089,0.186291
573.091,0.33223
573.5731,0.348633
574.0552,0.509426
574.5374,1.182018
575.0195,1.939117
575.5016,2.383667
575.9837,2.216103
576.4658,2.00288
576.9479,1.597725
577.4301,1.221752
577.9122,1.365849
578.3943,2.371529
578.8764,3.183056
579.3585,3.402508
579.8406,3.126133
580.3228,3.079052
580.8049,3.301594
581.287,3.517223
581.7691,3.465828
582.2512,3.239025
582.7333,3.248917
583.2155,3.542118
583.6975,3.853207
584.1796,3.840633
584.6617,3.702873
585.1439,3.810257
585.626,4.481022
586.1081,5.025978
586.5902,4.808884
587.0723,4.189762
587.5544,3.866524
588.0366,4.426182
588.5187,4.9076
589.0008,4.908432
589.4829,4.455021
589.965,3.928658
590.4471,3.086494
590.9293,2.65361
591.4114,2.99641
591.8935,4.182014
592.3756,5.247597
592.8577,6.291485
593.3398,6.950191
593.822,6.458752
594.3041,5.037842
594.7862,4.549732
595.2683,5.556496
595.7504,6.925179
596.2325,7.125244
596.7147,6.535057
597.1968,6.088196
597.6789,6.158138
598.161,6.445999
598.6431,6.87431
599.1252,7.380226
599.6074,7.688072
600.0895,7.454132
600.5716,7.206524
601.0537,7.253933
601.5358,7.728374
602.0179,7.900913
602.5001,7.46307
602.9822,7.063126
603.4643,7.245644
603.9464,8.203552
604.4285,8.872334
604.9106,9.081467
605.3928,9.183105
605.8749,9.85994
606.357,11.03018
606.8391,11.84436
607.3212,11.96708
607.8033,11.75422
608.2855,11.65824
608.7676,11.65578
609.2497,11.75306
609.7318,11.98951
610.2139,12.30054
610.696,12.721
611.1782,13.23676
611.6603,13.51183
612.1424,13.18922
612.6245,12.76086
613.1066,12.52474
613.5887,12.37131
614.0709,12.55134
614.553,13.22915
615.0351,14.09676
615.5172,14.83784
615.9993,15.42256
616.4814,16.06571
616.9636,16.84639
617.4457,17.6153
617.9278,18.02786
618.4099,18.11172
618.892,18.30047
619.3741,18.92916
619.8563,19.65276
620.3384,19.72285
620.8205,19.32079
621.3026,19.37128
621.7847,20.80076
622.2668,22.60741
622.749,24.09491
623.2311,25.20135
623.7132,26.03449
624.1953,26.44487
624.6774,26.7129
625.1595,27.02378
625.6417,27.31116
626.1238,27.78764
626.6059,28.47716
627.088,29.29312
627.5701,30.22993
628.0522,31.27873
628.5344,32.22647
629.0165,33.05622
629.4986,33.71705
629.9807,33.98817
630.4628,33.95542
630.9449,34.05275
631.4271,34.47284
631.9092,35.14601
632.3913,36.19617
632.8734,37.52645
633.3555,38.53434
633.8376,38.66913
634.3198,38.73066
634.8019,39.00521
635.284,39.39959
635.7661,39.77967
636.2482,40.04796
636.7303,40.52504
637.2125,41.41094
637.6946,42.90369
638.1767,43.97309
638.6588,44.58637
639.1409,44.7808
639.623,44.41679
640.1052,43.54452
640.5873,42.92995
641.0694,42.83453
641.5515,42.97881
642.0336,43.02364
642.5157,42.96991
642.9979,42.81795
643.48,42.56411
643.9621,42.21513
644.4442,41.72954
644.9263,41.14967
645.4084,40.64857
645.8906,40.37213
646.3727,40.00119
646.8548,39.28864
647.3369,38.15587
647.819,37.3251
648.3011,36.87046
648.7833,36.61749
649.2654,36.61805
649.7475,36.94704
650.2296,36.40983
650.7117,34.78412
651.1938,32.90097
651.676,31.89864
652.1581,31.54985
652.6402,31.05646
653.1223,30.15944
653.6044,29.10283
654.0865,27.74955
654.5687,26.43244
655.0508,25.64388
655.5329,26.1623
656.015,26.53175
656.4971,26.20943
656.9792,25.3016
657.4614,24.36734
657.9435,23.30881
658.4256,22.33214
658.9077,21.51561
659.3898,20.89337
659.8719,20.30916
660.3541,19.76093
660.8362,19.2619
661.3183,18.81209
661.8004,18.41776
662.2825,18.10416
662.7646,17.88772
663.2468,17.67151
663.7289,17.32384
664.211,16.91835
664.6931,16.57921
665.1752,16.38436
665.6573,16.07942
666.1395,15.52673
666.6216,14.80375
667.1037,13.96762
667.5858,12.6235
668.0679,11.6975
668.55,11.40275
669.0322,11.50785
669.5143,11.55939
669.9964,11.62197
670.4785,11.55644
670.9606,11.26826
671.4427,10.78293
671.9249,10.14653
672.407,9.392178
672.8891,8.717697
673.3712,8.591011
673.8533,8.4608
674.3354,7.18536
674.8176,4.950951
675.2997,3.567196
675.7818,4.656059
676.2639,6.340908
676.746,7.59314
677.2281,8.315254
677.7103,8.38282
678.1924,7.412716
678.6745,6.195942
679.1566,5.214096
679.6387,4.424751
680.1208,4.324337
680.603,5.100563
681.0851,6.016857
681.5672,6.142239
682.0493,5.635349
682.5314,5.14859
683.0135,4.83028
683.4957,4.611935
683.9778,4.392467
684.4599,4.228012
684.942,4.230572
685.4241,4.861
685.9063,5.220093
686.3884,4.615551
686.8705,3.422142
687.3526,2.968098
687.8347,3.909222
688.3168,4.728893
688.799,5.033791
689.2811,4.878864
689.7632,4.690945
690.2453,4.549194
690.7274,3.854881
691.2095,1.445255
691.6917,1.720112
692.1738,2.319004
692.6559,0.420918
693.138,1.396008
693.6201,0.764561
694.1022,0.58036
694.5844,0.827984
695.0665,0.452263
695.5486,1.480705
696.0307,1.47253
696.5128,1.079746
696.9949,0.805256
697.4771,0.656841
697.9592,0.652035
698.4413,0.835552
698.9234,1.107178
699.4055,1.376423
699.8876,1.645802
700.3698,1.853054
700.8519,2.032509
701.334,2.024353
701.8161,1.279072
702.2982,0.162716
702.7803,0.381805
703.2625,0.434116
703.7446,1.39925
704.2267,1.713112
704.7088,1.576649
705.1909,1.424934
705.673,1.393616
706.1552,1.331821
706.6373,1.191593
707.1194,0.989304
707.6015,0.821323
708.0836,0.733528
708.5657,0.518536
709.0479,0.084572002
709.53,0.866707
710.0121,0.676083
710.4942,0.438641
710.9763,1.273129
711.4584,0.611168
711.9406,0.573318
712.4227,0.983063
712.9048,0.572994
713.3869,0.232994
713.869,0.580139
714.3511,1.00806
714.8333,1.140358
715.3154,0.905834
715.7975,0.396503
716.2796,0.675621
716.7617,1.67664
717.2438,2.079147
717.726,1.82872
718.2081,1.538116
718.6902,1.242947
719.1723,0.920475
719.6544,0.500885
720.1365,0.038394999
720.6187,0.329948
721.1008,0.573097
721.5829,0.731445
722.065,0.932281
722.5471,1.037758
723.0292,0.864246
723.5114,0.050689999
723.9935,0.663956
724.4756,1.217918
724.9577,1.591316
725.4398,1.767662
725.9219,1.781548
726.4041,1.419769
726.8862,0.45385
727.3683,0.721924
727.8504,1.073338
728.3325,0.692772
728.8146,0.171452
729.2968,0.47448
729.7789,0.908104
730.261,0.427078
730.7431,0.648094
731.2252,1.255005
731.7073,0.379826
732.1895,0.521965
732.6716,0.742336
733.1537,0.315563
733.6358,0.131927
734.1179,0.256474
734.6,0.53125
735.0822,1.042709
735.5643,1.711151
736.0464,1.521107
736.5285,0.426907
737.0106,0.606575
737.4927,0.938168
737.9749,0.736923
738.457,0.177021
738.9391,0.713745
739.4212,1.608925
739.9033,2.460461
740.3854,3.138977
740.8676,3.507538
741.3497,3.459202
741.8318,3.483963
742.3139,3.820019
742.796,4.011776
743.2781,3.594963
743.7603,2.380985
744.2424,2.027889
744.7245,2.737129
745.2066,3.648415
745.6887,3.816242
746.1708,3.487595
746.653,3.298283
747.1351,3.367908
747.6172,3.522408
748.0993,3.656628
748.5814,3.796837
749.0635,3.967812
749.5457,4.013016
750.0278,4.098099
750.5099,4.400249
750.992,4.82246
751.4741,5.32634
751.9562,5.940464
752.4384,6.162743
752.9205,5.897686
753.4026,5.459381
753.8847,5.54771
754.3668,6.002434
754.8489,6.138588
755.3311,5.526825
755.8132,4.94101
756.2953,5.185871
756.7774,5.911747
757.2595,6.503193
757.7416,6.674538
758.2238,6.8092
758.7059,7.005726
759.188,7.227791
759.6701,7.375305
760.1522,7.371155
760.6343,7.481869
761.1165,7.92065
761.5986,8.496368
762.0807,8.806904
762.5628,8.8937
763.0449,8.992458
763.527,9.08073
764.0092,9.345333
764.4913,10.25217
764.9734,11.52058
765.4555,12.29424
765.9376,11.65613
766.4197,11.09926
766.9019,11.21629
767.384,11.82045
767.8661,12.20683
768.3482,12.33702
768.8303,12.49079
769.3124,12.80872
769.7946,13.18816
770.2767,13.53235
770.7588,13.88808
771.2409,14.20808
771.723,14.40324
772.2051,14.51642
772.6873,14.5627
773.1694,14.58941
773.6515,14.76253
774.1336,15.17162
774.6157,15.68401
775.0978,16.32501
775.58,17.08282
776.0621,17.64921
776.5442,18.0269
777.0263,18.20406
777.5084,18.05939
777.9905,17.6856
778.4727,17.50421
778.9548,17.52454
779.4369,17.80503
779.919,18.8204
780.4011,19.82765
780.8832,19.99422
781.3654,19.31198
781.8475,18.71173
782.3296,18.43645
782.8117,18.36845
783.2938,18.51137
783.7759,18.90965
784.2581,18.94996
784.7402,18.50597
785.2223,18.05765
785.7044,18.01855
786.1865,18.34762
786.6686,18.81525
787.1508,19.39143
787.6329,19.72674
788.115,19.29372
788.5971,18.64127
789.0792,18.46213
789.5613,19.0132
790.0435,19.1354
790.5256,17.78059
791.0077,16.58289
791.4898,16.55638
791.9719,17.98348
792.454,18.52577
792.9362,18.05407
793.4183,17.18784
793.9004,16.1618
794.3825,15.16878
794.8646,14.88115
795.3467,15.36081
795.8289,15.91771
796.311,16.29095
796.7931,16.34062
797.2752,15.80785
797.7573,14.42445
798.2394,13.55539
798.7216,13.56256
799.2037,13.87638
799.6858,14.2742
800.1679,14.84348
800.65,14.67644
801.1321,13.65647
801.6143,12.62459
802.0964,12.42953
802.5785,12.74007
803.0606,12.98681
803.5427,13.11207
804.0248,13.02894
804.507,12.47791
804.9891,11.84195
805.4712,11.38103
805.9533,11.08883
806.4354,11.18598
806.9175,12.11183
807.3997,12.78266
807.8818,12.05904
808.3639,9.997398
808.846,9.162815
809.3281,9.710384
809.8102,10.6222
810.2924,11.24196
810.7745,11.54509
811.2566,11.37173
811.7387,10.64148
812.2208,10.08425
812.7029,10.15371
813.1851,10.39021
813.6672,10.44792
814.1493,10.22257
814.6314,10.30618
815.1135,10.85605
815.5956,11.32035
816.0778,11.14548
816.5599,10.48027
817.042,10.04022
817.5241,9.865578
818.0062,9.680458
818.4883,9.176472
818.9705,8.606407
819.4526,8.180435
819.9347,7.912411
820.4168,7.896782
820.8989,8.500881
821.381,9.043015
821.8632,9.16618
822.3453,8.832123
822.8274,8.403976
823.3095,7.856861
823.7916,7.421127
824.2737,7.351208
824.7559,7.510616
825.238,7.7215
825.7201,7.959389
826.2022,7.940308
826.6843,7.076168
827.1664,6.220692
827.6486,6.022911
828.1307,6.658417
828.6128,7.088146
829.0949,7.220192
829.577,7.301651
830.0591,7.502205
830.5413,7.795238
831.0234,7.891598
831.5055,7.79171
831.9876,7.577766
832.4697,7.167385
832.9518,6.762199
833.434,6.639717
833.9161,6.778477
834.3982,6.859802
834.8803,6.820621
835.3624,6.679325
835.8445,6.401978
836.3267,6.001785
836.8088,5.774254
837.2909,5.749313
837.773,5.770931
838.2551,5.794807
838.7372,5.810539
839.2194,5.681438
839.7015,5.402416
840.1836,5.203537
840.6657,5.420895
841.1478,5.616322
841.6299,5.461105
842.1121,4.991261
842.5942,4.636559
843.0763,4.42989
843.5584,4.322716
844.0405,4.3293
844.5226,4.413506
845.0048,4.358944
845.4869,4.187542
845.969,4.251148
846.4511,5.066536
846.9332,5.918163
847.4153,5.819469
847.8975,5.098946
848.3796,4.708515
848.8617,5.654377
849.3438,6.177761
849.8259,5.481815
850.308,4.089626
850.7902,3.665493
851.2723,4.437447
851.7544,4.876595
852.2365,4.383335
852.7186,3.590992
853.2007,3.682526
853.6829,4.404621
854.165,5.087509
854.6471,5.619209
855.1292,5.80336
855.6113,5.226643
856.0934,4.33733
856.5756,3.968548
857.0577,4.399727
857.5398,4.867065
858.0219,5.351688
858.504,5.723038
858.9861,5.778996
859.4683,5.551598
859.9504,5.17765
860.4325,4.666218
860.9146,4.115189
861.3967,3.49424
861.8788,2.94619
862.361,2.653122
862.8431,2.839691
863.3252,2.969814
863.8073,2.916084
864.2894,2.851921
864.7715,3.127098
865.2537,3.783783
865.7358,3.846188
866.2179,3.173935
866.7,2.377796
867.1821,2.039177
867.6642,2.040527
868.1464,2.264179
868.6285,2.715679
869.1106,2.813431
869.5927,1.8153
870.0748,0.881359
870.5569,0.821804
871.0391,1.794552
871.5212,2.511292
872.0033,2.953014
872.4854,3.207836
872.9675,3.408592
